Type,Defense,Soak,HP,Encum,(R),Price,Rarity
Ancient Battle Armor,0,2,1,6,,"3,750",9
"PX-11 ""Battlement"" Powered Armor",1,3,3,3,(R),"9,000",9
Armored Robes,1,2,2,5,(R),"4,500",8
Chitin Armor,0,2,1,4,,600,6
"""Luck"" Armor",0,2,1,4,,"1,000",5
Heavy Battle Armor,1,2,4,6,(R),"5,000",7
HT-77 Cold Assault Armor,0,2,2,6,(R),"4,000",6
Hutt Shell Armor,2,2,4,6,(R),"25,000",9
Imperial Hazard Trooper Armor,0,3,3,4,(R),"18,000",8
Jedi Battle Armor,1,2,5,5,(R),"7,500",9
Katarn-class Commando Armor (CotR),1,2,3,4,(R),"6,500",7
Mk I Katarn-class Commando Armor (KoF),1,2,3,4,(R),"6,500",8
Kav-Dann Power Armor,2,2,6,4,(R),"13,500",7
Laminate Armor,0,2,3,4,,"2,500",5
Leviathan Power Armor,2,2,1,8,,"15,000",8
Mandalorian Armor,1,2,5,6,(R),"6,000",8/Special
N-57 Armor,0,2,5,5,,"3,000",6
"Mk II ""Hotspot"" Insulated Armor",0,2,2,6,(R),"5,500",7
"Mk II ""Steelskin"" Anti-concussive Armor",0,3,1,8,(R),"6,500",7
Mk IV Riot Armor,1,1,1,3,(R),"1,850",6
Phase I ARC Trooper Armor (RotS),1,2,4,5,(R),"6,000",7
Phase I ARC Trooper Armor (KoF),1,2,2,4,(R),"5,000",8
Phase I Clone Trooper Armor,0,2,3,4,(R),"2,000",6
Phase II ARC Trooper Armor,1,2,2,4,(R),"5,500",7
Phase II Clone Trooper Armor,0,2,4,4,(R),"3,000",6
Powered Capacitive Armor,1,1,2,4,(R),"3,000",8
Rebel Heavy Battle Armor,1,2,5,5,(R),"6,000",8
Scavenged Clone Armor,0,2,2,5,(R),"1,000",4
Protector 1 Combat Armor,1,2,3,4,(R),"5,500",7
Waterweave,2,1,1,7,,"6,500",5
