Type,Defense,Soak,HP,Encum,(Restricted),Price,Rarity,source_file
Banal Apparel,0,0,0,-,,25,0,ATTIRE & OTHER CLOTHES.csv
Cargo Clothes,0,0,0,1,,30,0,ATTIRE & OTHER CLOTHES.csv
Concealing Robes,0,1,0,1,,150,2,ATTIRE & OTHER CLOTHES.csv
Diplomat's Robes,0,0,0,2,,400,6,ATTIRE & OTHER CLOTHES.csv
Heavy Clothing,0,1,0,1,,50,0,ATTIRE & OTHER CLOTHES.csv
Heavy Robes,1,0,0,1,,150,2,ATTIRE & OTHER CLOTHES.csv
Holographic Costume,1,0,0,2,,750,8,ATTIRE & OTHER CLOTHES.csv
Lector's Outfit,0,1,1,2,,525,6,ATTIRE & OTHER CLOTHES.csv
Noble Regalia,0,0,3,1,,750,7,ATTIRE & OTHER CLOTHES.csv
Nomad Greatcoat,0,1,0,1,,100,4,ATTIRE & OTHER CLOTHES.csv
Performer's Attire,0,0,0,0,,50,4,ATTIRE & OTHER CLOTHES.csv
Pit Crew Coveralls,0,1,1,1,,150,2,ATTIRE & OTHER CLOTHES.csv
Polis Massan Bodysuit,0,1,1,1,,300,6,ATTIRE & OTHER CLOTHES.csv
Resplendent Robes,0,1,0,2,,500,5,ATTIRE & OTHER CLOTHES.csv
Smuggler's Trenchcoat,1,1,0,3,,"1,650",7,ATTIRE & OTHER CLOTHES.csv
Tracker Utility Vest,0,0,1,-,,100,2,ATTIRE & OTHER CLOTHES.csv
AniPro Layered Beast Armor,1,1,0,4,,"2,500",5,BEAST ARMOR & EQUIPMENT.csv
Caballerin-Series Riding Tack,0,0,0,2,,250,4,BEAST ARMOR & EQUIPMENT.csv
Capari-series Padded Beast Armor,0,2,0,4,,"2,500",5,BEAST ARMOR & EQUIPMENT.csv
Destri-series Laminate Beast Armor,0,4,1,7,,"8,500",7,BEAST ARMOR & EQUIPMENT.csv
H-series Megafauna Carriage,1,0,2,5,,"5,500",7,BEAST ARMOR & EQUIPMENT.csv
Ancient Battle Armor,0,2,1,6,,"3,750",9,HEAVY.csv
"PX-11 ""Battlement"" Powered Armor",1,3,3,3,(Restricted),"9,000",9,HEAVY.csv
Armored Robes,1,2,2,5,(Restricted),"4,500",8,HEAVY.csv
Chitin Armor,0,2,1,4,,600,6,HEAVY.csv
"""Luck"" Armor",0,2,1,4,,"1,000",5,HEAVY.csv
Heavy Battle Armor,1,2,4,6,(Restricted),"5,000",7,HEAVY.csv
HT-77 Cold Assault Armor,0,2,2,6,(Restricted),"4,000",6,HEAVY.csv
Hutt Shell Armor,2,2,4,6,(Restricted),"25,000",9,HEAVY.csv
Imperial Hazard Trooper Armor,0,3,3,4,(Restricted),"18,000",8,HEAVY.csv
Jedi Battle Armor,1,2,5,5,(Restricted),"7,500",9,HEAVY.csv
Katarn-class Commando Armor (CotR),1,2,3,4,(Restricted),"6,500",7,HEAVY.csv
Mk I Katarn-class Commando Armor (KoF),1,2,3,4,(Restricted),"6,500",8,HEAVY.csv
Kav-Dann Power Armor,2,2,6,4,(Restricted),"13,500",7,HEAVY.csv
Laminate Armor,0,2,3,4,,"2,500",5,HEAVY.csv
Leviathan Power Armor,2,2,1,8,,"15,000",8,HEAVY.csv
Mandalorian Armor,1,2,5,6,(Restricted),"6,000",8/Special,HEAVY.csv
N-57 Armor,0,2,5,5,,"3,000",6,HEAVY.csv
"Mk II ""Hotspot"" Insulated Armor",0,2,2,6,(Restricted),"5,500",7,HEAVY.csv
"Mk II ""Steelskin"" Anti-concussive Armor",0,3,1,8,(Restricted),"6,500",7,HEAVY.csv
Mk IV Riot Armor,1,1,1,3,(Restricted),"1,850",6,HEAVY.csv
Phase I ARC Trooper Armor (RotS),1,2,4,5,(Restricted),"6,000",7,HEAVY.csv
Phase I ARC Trooper Armor (KoF),1,2,2,4,(Restricted),"5,000",8,HEAVY.csv
Phase I Clone Trooper Armor,0,2,3,4,(Restricted),"2,000",6,HEAVY.csv
Phase II ARC Trooper Armor,1,2,2,4,(Restricted),"5,500",7,HEAVY.csv
Phase II Clone Trooper Armor,0,2,4,4,(Restricted),"3,000",6,HEAVY.csv
Powered Capacitive Armor,1,1,2,4,(Restricted),"3,000",8,HEAVY.csv
Rebel Heavy Battle Armor,1,2,5,5,(Restricted),"6,000",8,HEAVY.csv
Scavenged Clone Armor,0,2,2,5,(Restricted),"1,000",4,HEAVY.csv
Protector 1 Combat Armor,1,2,3,4,(Restricted),"5,500",7,HEAVY.csv
Waterweave,2,1,1,7,,"6,500",5,HEAVY.csv
Boba Fett's Armor,2,3,0-,6,,Not for Sale,10,LEGENDARY.csv
Darth Vader's Armor,1,2,-,5,,Not for Sale,10,LEGENDARY.csv
"""Storm"" Charge Suit (GaG)",0,2,0,3,,"2,000",2,LIGHT.csv
"""Storm"" Charge Suit (DC)",0,2,0,3,,"2,000",6,LIGHT.csv
Alliance Engineer's Helmet and Vest,0,1,0,1,,75,1,LIGHT.csv
Alliance Light Stealth Armor,0,2,2,3,(Restricted),"2,200",7,LIGHT.csv
Armored Clothing,1,1,1,3,,"1,000",6,LIGHT.csv
Armored Drop Suit,1,1,2,6,,"7,500",7,LIGHT.csv
Armored Half-vest,1,1,0,3,,500,5,LIGHT.csv
Beast-hide Armor (GaG),0,1,0,2,,300,3,LIGHT.csv
"Beast-hide Armor (SS, DC)",0,1,0,3,,300,2,LIGHT.csv
Blast Vest,0,1,1,3,,200,3,LIGHT.csv
Catch Vest,0,2,0,1,,300,3,LIGHT.csv
Clone Dive Armor,0,2,2,3,(Restricted),"4,500",7,LIGHT.csv
Clone Reconnaissance Armor,0,2,2,3,(Restricted),"4,000",6,LIGHT.csv
Custom Tailored Armored Jacket,0,2,0,1,,"6,200",7,LIGHT.csv
Flare Jacket,0,1,0,3,,"1,500",8,LIGHT.csv
Formal Council Armor,0,2,2,5,(Restricted),"8,000",10,LIGHT.csv
Hunter's Trophy Armor (completed),0,2,1,4,(Restricted),"2,000",9,LIGHT.csv
Hunter's Trophy Armor (custom-made),0,2,1,4,(Restricted),"1,000",6,LIGHT.csv
Imperial Storm Commando Armor,0,2,4,4,(Restricted),"5,000",9,LIGHT.csv
Jedi Commander Armor,1,2,3,5,(Restricted),"5,000",8,LIGHT.csv
Jedi Reconnaissance Armor,1,1,2,2,,"4,000",8,LIGHT.csv
Jedi Temple Guard Armor,2,1,3,4,(Restricted),"12,000",10,LIGHT.csv
Mk I NightStalker Infiltrator Suit,0,2,1,2,(Restricted),"4,800",9,LIGHT.csv
Mk III Flak Vest,0,1,1,3,,300,2,LIGHT.csv
"Mk IX Personal Mimetic Concealment Suit (GaG, CaM)",1,1,1,2,(Restricted),"8,000",8,LIGHT.csv
Mk IX Personal Mimetic Concealment Suit (FC),1,1,2,2,(Restricted),"8,000",8,LIGHT.csv
Mountaineer Armor,1,1,2,3,,"1,800",6,LIGHT.csv
Padded Armor,0,2,0,2,,500,1,LIGHT.csv
Pioneer Armor (GaG),0,1,2,1,,200,4,LIGHT.csv
Pioneer Armor (FO),0,1,1,1,,200,4,LIGHT.csv
Riot Armor,0,2,2,3,,950,4,LIGHT.csv
Second Skin Armor,1,1,0,2,,"2,000",7,LIGHT.csv
Survivalist Armor,0,1,2,3,,350,6,LIGHT.csv
Timber Cuirass,1,2,1,4,,"4,000",5,LIGHT.csv
"Type III ""Berethron"" Personal Modular Armor",1,1,3,3,(Restricted),"1,250",6,LIGHT.csv
Verpine Fiber Ultramesh Armor,0,1,2,3,,"3,000",5,LIGHT.csv
"""Gundark"" Scav-Suit",1,1,2,2,,"3,000",6,WORN EQUIPMENT.csv
Shockrider Crash Suit,0,2,1,2,,"3,000",3,WORN EQUIPMENT.csv
Adverse Environment Gear,0,1,1,2,,500,1,WORN EQUIPMENT.csv
Biogel Suit,0,2,0,6,,350,1,WORN EQUIPMENT.csv
CF-9 Republic Naval Flight Suit,1,1,2,3,(Restricted),"1,200",6,WORN EQUIPMENT.csv
Climbsuit,0,1,2,2,,"1,450",4,WORN EQUIPMENT.csv
Cloaking Coat,0,1,1,4,(Restricted),550,8,WORN EQUIPMENT.csv
Crash Gear,0,1,1,1,,550,3,WORN EQUIPMENT.csv
EOD-Mk II Explosives Disposal Armor,0,4,0,8,,"5,300",6,WORN EQUIPMENT.csv
Enviro-suit,0,2,1,2,,750,2,WORN EQUIPMENT.csv
Fabricators' Protective Gear,0,1,0,1,,450,1,WORN EQUIPMENT.csv
G-suit,0,1,1,2,,"2,000",3,WORN EQUIPMENT.csv
Hauling Harness,1,1,2,3,,"1,000",6,WORN EQUIPMENT.csv
Individual Field Disruptor,1,0,0,-,(Restricted),"9,500",7,WORN EQUIPMENT.csv
Mechanic's Utility Suit,0,2,1,5,,"1,175",3,WORN EQUIPMENT.csv
P-14 Hazardous Industry Suit,0,2,2,7,,"1,000",4,WORN EQUIPMENT.csv
Personal Deflector Shield,2,0,0,3,,"10,000",8,WORN EQUIPMENT.csv
Reflect Body Glove,0,3,0,2,,"2,500",5,WORN EQUIPMENT.csv
Reinforced Environment Gear,0,1,2,2,,850,4,WORN EQUIPMENT.csv
Sakiyan Shadowsuit,0,1,1,1,,"2,500",8,WORN EQUIPMENT.csv
SeaScape Diving Suit,0,2,0,3,,400,2,WORN EQUIPMENT.csv
Sith Pain Harness,0,2,0,2,(Restricted),"3,500",9,WORN EQUIPMENT.csv
Thinsuit,0,1,0,-,,"1,200",6,WORN EQUIPMENT.csv
Training Suit,0,2,0,6,(Restricted),400,9,WORN EQUIPMENT.csv
TX-3 Combat Flight Suit,1,0,2,4,(Restricted),"3,000",6,WORN EQUIPMENT.csv
Wing Commander Armored Flight Suit,1,1,1,3,,"1,500",6,WORN EQUIPMENT.csv
Zephyr Stealth Suit,1,1,1,2,(Restricted),"5,500",8,WORN EQUIPMENT.csv
