Type,HP Req,(Restricted),Price,Price Modifier,Rarity,Category
Collision Avoidance System,1,,2200,,6,PODRACER ATTACHMENTS
Ejection System,1,,400,,4,PODRACER ATTACHMENTS
Engine Boosting System,1,,1100,,5,PODRACER ATTACHMENTS
Foreign Debris Ejector,1,,900,,3,PODRACER ATTACHMENTS
Handling Upgrades,1,,4000,,6,PODRACER ATTACHMENTS
High-Output Repulsor Coils,2,,4500,,3,PODRACER ATTACHMENTS
Pair of Podracer Engines,2,,4000,,5,PODRACER ATTACHMENTS
Podracer Control Cables,1,,1000,,2,PODRACER ATTACHMENTS
Reinforced Engine Cowlings,1,,2500,,3,PODRACER ATTACHMENTS
Shield Generator,1,,4200,,4,PODRACER ATTACHMENTS
Advanced Subspace Encryption Array,1,(Restricted),6000,,7,STARSHIP ATTACHMENTS
Astrogation Droid Brain,0,,7500,,6,STARSHIP ATTACHMENTS
Briefing Auditorium,1,,2500,,4,STARSHIP ATTACHMENTS
Cloaking Device,4,(Restricted),29000,,9,STARSHIP ATTACHMENTS
Decoy Buoy,0,(Restricted),5000,,5,STARSHIP ATTACHMENTS
Enhanced Hyperspace Shields,1,,4000,,5,STARSHIP ATTACHMENTS
HoloNet Pirate Array,2,(Restricted),25000,,8,STARSHIP ATTACHMENTS
Hyperdrive Generator,1,,6400,,4,STARSHIP ATTACHMENTS
Overcharged Ion Engines,3,,9500,,4,STARSHIP ATTACHMENTS
Reinforced Shield Generator,2,,3800,,5,STARSHIP ATTACHMENTS
Secondary Transponder,1,(Restricted),20000,,7,STARSHIP ATTACHMENTS
Slicing Computer,1,,5000,,6,STARSHIP ATTACHMENTS
Advanced Targeting Array,1,,4000,,4,UNIVERSAL ATTACHMENTS
All-Terrain Legs,2,,3000,x Silhouette,5,UNIVERSAL ATTACHMENTS
Amphibious Modification,1,,1000,x Silhouette,5,UNIVERSAL ATTACHMENTS
Armored Computer Core,0,,1100,,4,UNIVERSAL ATTACHMENTS
Autopilot Droid Brain (FO),1,,6000,,5,UNIVERSAL ATTACHMENTS
Autopilot Droid Brain (FC),0,,6000,,5,UNIVERSAL ATTACHMENTS
Cloaked Smuggling Compartments,1,(Restricted),2200,,4,UNIVERSAL ATTACHMENTS
Containment Field,2,(Restricted),7500,,9,UNIVERSAL ATTACHMENTS
Electronic Counter-Countermeasures Suite,1,,3500,,6,UNIVERSAL ATTACHMENTS
Electronic Countermeasures Suite,1,,3000,,6,UNIVERSAL ATTACHMENTS
Encrypted Computer,0,,1000,,6,UNIVERSAL ATTACHMENTS
Enhanced Carbon-Durasteel Armor,2,,2000,x Silhouette,3,UNIVERSAL ATTACHMENTS
