Type,HP Req,(Restricted),Price,Price Modifier,Rarity
Advanced Subspace Encryption Array,1,(Restricted),6000,,7
Astrogation Droid Brain,0,,7500,,6
Briefing Auditorium,1,,2500,,4
Cloaking Device,4,(Restricted),29000,,9
Decoy Buoy,0,(Restricted),5000,,5
Enhanced Hyperspace Shields,1,,4000,,5
HoloNet Pirate Array,2,(Restricted),25000,,8
Hyperdrive Generator,1,,6400,,4
Overcharged Ion Engines,3,,9500,,4
Reinforced Shield Generator,2,,3800,,5
Secondary Transponder,1,(Restricted),20000,,7
Slicing Computer,1,,5000,,6
