Type,HP Req,(Restricted),Price,Price Modifier,Rarity,source_file
Collision Avoidance System,1,,2200,,6,PODRACER ATTACHMENTS.csv
Ejection System,1,,400,,4,PODRACER ATTACHMENTS.csv
Engine Boosting System,1,,1100,,5,PODRACER ATTACHMENTS.csv
Foreign Debris Ejector,1,,900,,3,PODRACER ATTACHMENTS.csv
Handling Upgrades,1,,4000,,6,PODRACER ATTACHMENTS.csv
High-Output Repulsor Coils,2,,4500,,3,PODRACER ATTACHMENTS.csv
Pair of Podracer Engines,2,,4000,,5,PODRACER ATTACHMENTS.csv
Podracer Control Cables,1,,1000,,2,PODRACER ATTACHMENTS.csv
Reinforced Engine Cowlings,1,,2500,,3,PODRACER ATTACHMENTS.csv
Shield Generator,1,,4200,,4,PODRACER ATTACHMENTS.csv
Advanced Subspace Encryption Array,1,(Restricted),6000,,7,STARSHIP ATTACHMENTS.csv
Astrogation Droid Brain,0,,7500,,6,STARSHIP ATTACHMENTS.csv
Briefing Auditorium,1,,2500,,4,STARSHIP ATTACHMENTS.csv
Cloaking Device,4,(Restricted),29000,,9,STARSHIP ATTACHMENTS.csv
Decoy Buoy,0,(Restricted),5000,,5,STARSHIP ATTACHMENTS.csv
Enhanced Hyperspace Shields,1,,4000,,5,STARSHIP ATTACHMENTS.csv
HoloNet Pirate Array,2,(Restricted),25000,,8,STARSHIP ATTACHMENTS.csv
Hyperdrive Generator,1,,6400,,4,STARSHIP ATTACHMENTS.csv
Overcharged Ion Engines,3,,9500,,4,STARSHIP ATTACHMENTS.csv
Reinforced Shield Generator,2,,3800,,5,STARSHIP ATTACHMENTS.csv
Secondary Transponder,1,(Restricted),20000,,7,STARSHIP ATTACHMENTS.csv
Slicing Computer,1,,5000,,6,STARSHIP ATTACHMENTS.csv
Advanced Targeting Array,1,,4000,,4,UNIVERSAL ATTACHMENTS.csv
All-Terrain Legs,2,,3000,x Silhouette,5,UNIVERSAL ATTACHMENTS.csv
Amphibious Modification,1,,1000,x Silhouette,5,UNIVERSAL ATTACHMENTS.csv
Armored Computer Core,0,,1100,,4,UNIVERSAL ATTACHMENTS.csv
Autopilot Droid Brain (FO),1,,6000,,5,UNIVERSAL ATTACHMENTS.csv
Autopilot Droid Brain (FC),0,,6000,,5,UNIVERSAL ATTACHMENTS.csv
Cloaked Smuggling Compartments,1,(Restricted),2200,,4,UNIVERSAL ATTACHMENTS.csv
Containment Field,2,(Restricted),7500,,9,UNIVERSAL ATTACHMENTS.csv
Electronic Counter-Countermeasures Suite,1,,3500,,6,UNIVERSAL ATTACHMENTS.csv
Electronic Countermeasures Suite,1,,3000,,6,UNIVERSAL ATTACHMENTS.csv
Encrypted Computer,0,,1000,,6,UNIVERSAL ATTACHMENTS.csv
Enhanced Carbon-Durasteel Armor,2,,2000,x Silhouette,3,UNIVERSAL ATTACHMENTS.csv
Enhanced Prisoner Lockup,3,,3500,,7,UNIVERSAL ATTACHMENTS.csv
Environmental Simulators,2,,7500,,6,UNIVERSAL ATTACHMENTS.csv
Gunner Droid Brain,0,,7000,,6,UNIVERSAL ATTACHMENTS.csv
Hardened Circuits,2,,4500,,5,UNIVERSAL ATTACHMENTS.csv
High-Output Ion Turbine,1,,5300,,5,UNIVERSAL ATTACHMENTS.csv
Holo-Tank,1,,5000,,4,UNIVERSAL ATTACHMENTS.csv
Holographic Shell,2,(Restricted),5500,,7,UNIVERSAL ATTACHMENTS.csv
Hull/Keel Reinforcement,2,,2500,x Silhouette,4,UNIVERSAL ATTACHMENTS.csv
Hull/Keel Reinforcement (table entry),2,,2500,,4,UNIVERSAL ATTACHMENTS.csv
Hush Kit,1,,450,,6,UNIVERSAL ATTACHMENTS.csv
Hydraulic Control Circuits,2,,1000,,7,UNIVERSAL ATTACHMENTS.csv
Interior Broadcast Suite,1,,800,,3,UNIVERSAL ATTACHMENTS.csv
Laser Focusing Array,2,,3000,per laser weapon enhanced,6,UNIVERSAL ATTACHMENTS.csv
Laser Focusing Array (table entry),2,,5000,,6,UNIVERSAL ATTACHMENTS.csv
Luxury Passenger Compartments,1,,2000,per passenger,3,UNIVERSAL ATTACHMENTS.csv
Nightshadow Coating,1,(Restricted),"3,500",,8,UNIVERSAL ATTACHMENTS.csv
Onboard Amenities Unit,1,,750,,3,UNIVERSAL ATTACHMENTS.csv
Overcharged Shields,1,,"4,000",,4,UNIVERSAL ATTACHMENTS.csv
Oversized External Weapons Mount,2,(Restricted),"3,000",x Silhouette,6,UNIVERSAL ATTACHMENTS.csv
Physical Countermeasures,1,,"2,200",,4,UNIVERSAL ATTACHMENTS.csv
Pseudo-Cloaking Device,1,(Restricted),"12,000",,8,UNIVERSAL ATTACHMENTS.csv
Ram Attachment,2,,"6,500",,3,UNIVERSAL ATTACHMENTS.csv
Rapid Cargo Evacuation Chute,1,(Restricted),500,,3,UNIVERSAL ATTACHMENTS.csv
Reinforced Armor Plating,2,,"4,000",x Silhouette,2,UNIVERSAL ATTACHMENTS.csv
Retractable Weapon System,1,,"1,000",,6,UNIVERSAL ATTACHMENTS.csv
Retrofitted Hangar Bay,2,,"5,000",x Silhouette,3,UNIVERSAL ATTACHMENTS.csv
Security Measures,0,,500,x Silhouette,4,UNIVERSAL ATTACHMENTS.csv
Sensor Baffler,1,(Restricted),8000,,6,UNIVERSAL ATTACHMENTS.csv
Sensor Shunt,1,(Restricted),3100,,8,UNIVERSAL ATTACHMENTS.csv
Sensor Shunt (table entry),1,(Restricted),3200,,8,UNIVERSAL ATTACHMENTS.csv
T9 Stinger Assault Boarding Tube,3,(Restricted),1000,x Silhouette,4,UNIVERSAL ATTACHMENTS.csv
Slave Circuit,1,,10000,,2,UNIVERSAL ATTACHMENTS.csv
Smuggling Compartments,1,(Restricted),1200,,1,UNIVERSAL ATTACHMENTS.csv
"Tactical Command, Control, and Communications Suite",1,,4200,,6,UNIVERSAL ATTACHMENTS.csv
Theater Command and Control System,2,,8500,,6,UNIVERSAL ATTACHMENTS.csv
Upgraded Comms Array,1,,4800,,6,UNIVERSAL ATTACHMENTS.csv
WhisperThrust Engine,1,(Restricted),7500,,7,UNIVERSAL ATTACHMENTS.csv
Augmented Buffer,0,,750,,,VEHICLE ATTACHMENTS.csv
CZ-88 Heavy Loader Arm,1,,1500,,3,VEHICLE ATTACHMENTS.csv
Enhanced Repulsorlift,1,,1000,x Silhouette,3,VEHICLE ATTACHMENTS.csv
Fogger Smoke Generator,1,,2750,,2,VEHICLE ATTACHMENTS.csv
Gravity Mine Launcher,1,,3500,,6,VEHICLE ATTACHMENTS.csv
Maneuvering Thrusters,1,,500,x Silhouette,,VEHICLE ATTACHMENTS.csv
Mobile Listening Post,2,,5500,,5,VEHICLE ATTACHMENTS.csv
Upgraded Firepower,0,,1000,,,VEHICLE ATTACHMENTS.csv
Missile Pack,0 or 1,(Restricted),10000,,5,WEAPON MOUNTS.csv
Mini-Missile Pack,0 or 1,(Restricted),7000,,5,WEAPON MOUNTS.csv
"Ax-108 ""Ground Buzzer"" Surface-Defense Blaster Cannon",1,,2000,,5,WEAPON MOUNTS.csv
Electromagnetic Tow Cable Launcher,1,,2000,,2,WEAPON MOUNTS.csv
Flak Cannons (light),0 or 1,,6000,,5,WEAPON MOUNTS.csv
Flak Cannons (medium),0 or 1,,8000,,6,WEAPON MOUNTS.csv
Flak Cannons (heavy),0 or 1,,10000,,7,WEAPON MOUNTS.csv
Ion Torpedo Launcher,1,,6500,,7,WEAPON MOUNTS.csv
Minelayer,2,(Restricted),4000,,6,WEAPON MOUNTS.csv
Plasma Drill,3,,4000,,4,WEAPON MOUNTS.csv
Plasma Drill (table entry),1,,4000,,4,WEAPON MOUNTS.csv
Repeating Ion Cannon,1,,6000,,6,WEAPON MOUNTS.csv
Grappler 213 Tactical Tractor Beam,0 or 1,,6200,,7,WEAPON MOUNTS.csv
MM-XT Mini-Missile Tube,0 or 1,(Restricted),700,,4,WEAPON MOUNTS.csv
Termite Torpedo Launcher,1,(Restricted),10000,,8,WEAPON MOUNTS.csv
Upgraded Weapons (auto-blaster),0 or 1,,3000,,3,WEAPON MOUNTS.csv
Upgraded Weapons (light blaster),0 or 1,,4000,,2,WEAPON MOUNTS.csv
Upgraded Weapons (heavy blaster),0 or 1,,5000,,3,WEAPON MOUNTS.csv
Upgraded Weapons (concussion missile),0 or 1,,7500,,5,WEAPON MOUNTS.csv
Upgraded Weapons (light ion),0 or 1,,5000,,5,WEAPON MOUNTS.csv
Upgraded Weapons (medium ion),0 or 1,,6000,,6,WEAPON MOUNTS.csv
Upgraded Weapons (heavy ion),0 or 1,,7500,,7,WEAPON MOUNTS.csv
Upgraded Weapons (battleship ion),0 or 1,,10000,,8,WEAPON MOUNTS.csv
Upgraded Weapons (proton torpedo),0 or 1,(Restricted),9000,,7,WEAPON MOUNTS.csv
Upgraded Weapons (quad laser),0 or 1,,8000,,6,WEAPON MOUNTS.csv
Upgraded Weapons (light tractor),0 or 1,,6000,,4,WEAPON MOUNTS.csv
Upgraded Weapons (medium tractor),0 or 1,,8000,,5,WEAPON MOUNTS.csv
Upgraded Weapons (heavy tractor),0 or 1,,10000,,6,WEAPON MOUNTS.csv
Upgraded Weapons (light turbolaser),0 or 1,(Restricted),12000,,7,WEAPON MOUNTS.csv
Upgraded Weapons (medium turbolaser),0 or 1,(Restricted),15000,,7,WEAPON MOUNTS.csv
Upgraded Weapons (heavy turbolaser),0 or 1,(Restricted),20000,,8,WEAPON MOUNTS.csv
