Poison,(R),Price,Enc.,Rare.,Effect
Affide Crystal,(R),500,0,8,Almost guarantees death on ingestion
Antidote Set,,250,1,5,Helps in resisting poison effects
Bearsloth Venom,,150,0,3 (Arbooine),Induces additional suffering on injection
Cyanosis D-570,,50,1,4,Causes slow death over time on ingestion
Dendriton Toxin,(R),125,0,7,Causes slowly increasing fatigue and pain
Dioxis Gas,(R),100,0,6,Lethal gas that lingers
Questioner-9 Interrogation Serum (single),(R),300,0,6,Reduces ability to lie or with-hold information
Questioner-9 Interrogation Serum (box of 100),(R),24000,5,7,Reduces ability to lie or with-hold information
Raquor Venom,(R),150,0,7,"Causes paralysis on injection, though can be aerosolized"
Skirtopanol,(R),500,0,8,Reduces ability to with-hold information
Sleeppack,,250,0,3,Rapid sedation
Synthetic Anesthetic,,35,0,4,Slow sedation
Synthetic Neuroparalytic,(R),75,0,6,Causes paralysis on injection
Synthetic Neurotoxin,(R),50,0,6,Medium-speed action lethality
