Gear,Price,Enc.,Rare.,Features
Antishock Blanket,250,2,2,Makes healing critical injuries easier
Athakam Medtech Military Medpac (Untrained/Emergency),400,2,3,Enables safe unskilled healing of others
Bacta (1 litre),20,1,1,Accelerates healing over rest
Bacta (person-sized tank),"4,000",12,1,Accelerates healing over rest
Bioscan (Xeno-Medicine),"5,000",1,2,Makes healing easier
Blood Scanner,400,1,5,Assists in identification of toxins/diseases in patient
Calming Salve,25,0,3,Revitalizes force sensitives through their connection to the force
CAPC ECM-598 Medical Backpack,450,2,4,Makes healing easier all around
Chiewab IRAPS Cerebral Stablisizer,"2,200",3,7,Brings a patient back from the brink of death
Emergency Medpac,100,1,1,Enables safe healing of others
Healer's Kit,-,2,-,Kit assembled from available materials to enable safe healing of others
Med-Aid Patch,20,1,4,Improves healing outcomes of patient
Medpac,400,2,2,"Improves healing capacity, and contains a stimpack"
Military Traumapac,50,1,3,Enables safe healing of others
Nullicaine,25,0,2,Temporarily suppress the effects of a critical injury
Physician's Kit,400,2,2,Improves healing capacity
Plasma Protein Replicator,"5,500",3,4,Improves healing outcomes of patient
Spray Plasto-Cast,35,1,1,Allows healing of crippled or disabled limb over a week
Stimpack,25,0,2,"Instantly heals up wounds, with diminishing returns"
Stimstick,5,0,2,Reduces the effects of being tired
Synthskin/Synthflesh,10,-,1,Cosmetic application to replace lost skin and flesh
XV-09 Chemical Restraint Harness,"1,200",2,5,Pacifies a beast it is mounted on
XV-20 Portable Veterinary Kit,500,2,3,Improves diagnosis and healing of wounded animals/beasts
XC-38 Veterinary Kit,600,3,3,Improves diagnosis and healing of wounded animals/beasts
