Gear,Price,Enc.,Rare.,Features
Aratech R82 Jump Boots,"2,000",2,6,Jetpack on boots
Backpack,50,-,0,Increases carrying capacity
BlasTech Model 58 Concealment Holster,40,0,3,Conceals a small weapon
Climbing Gear,50,1,2,Allows rappelling and climbing
Creshaldyne Mk. IV Modular Backpack (backpack),75,-,1,Increases carrying capacity
Creshaldyne Mk. IV Modular Backpack (pouch),15,-,1,Increases carrying capacity
Data Goggles,250,1,1,Displays information on goggles
Datapad,75,1,1,Handheld computer system
Draxton DF-15 Medium-Yield Fusion Generator,550,4,4,Portable power pack for an array of items
Emergency Repair Patch,25,0,1,Quick-repairs droids
Extra Reload,25,1,1,Reloads weapon
Foot Speeder,"2,000",4,4,Compact speeder
Fusion Lantern,150,2,2,"Heater, energy source and light source"
Glow Rod,10,1,0,Illuminates with beam of light
Hologoggles,"6,000",1,6,Provides a virtual reality when worn for training
HoloNet Homing Beacon,500,0,3,Allows tracking through space
Imperial Army Military Pack,60,-,0,Cumbersome increase in carrying capacity
Jet Pack,"4,500",2,7,Backpack sized transport option
JT-12C Jetpack,"4,750",2,7,Backpack sized transport option
Load-Bearing Gear,100,-,3,Increases carrying capacity
Mem-Stik,30,0,2,Small data storage option
"Merr-Sonn ""Rider"" Ascension Pistol",275,1,4,Grappling hook gun
Repulsor Assist Unit,620,1,3,Small repulsor lift engine
Rim Excursions Inc. Military Belt Pouch,10,-,0,Holds a couple items for use mid combat
Rocket Boots,"2,500",2,8,Jet pack on boots
Spacer's Duffel,50,-,0,Increases carrying capacity
Surveyor's Bag,50,-,1,Increases carrying capacity
Thunderhead Portable Entertainment System,"2,500",10,4,Complete entertainment suite for producing performances
Utility Belt,25,-,0,Increase carrying capacity
Weapon Maintenance Kit,450,2,3,Assists for repairs and modifications of a certain type of weapon
Z-6 Jetpack,"5,250",3,7,Fast jetpack with missile launcher
