Gear,Price,Enc.,Rare.,Features
"""Breaker"" Heavy Hydrospanner",250,3,2,"Assists in working with starship plating, and can be used as a weapon"
Corellian Mining Corporation EVA Powersuit,"1,500",12,7,Used for in-space repairs of ships hulls
Custom Tool Kit,700,5,5,Tool kit made for a specific user
CZ-88 Heavy Loader Arm,"1,500",30,3,Automated grabbing arm
Demolitions Tool Kit,400,4,3,Designed to reduce hazards while working on explosives
Engineer's Hammer,350,2,2,"Assists in demolishing and building structures, is also a weapon"
Foamcast,25,1,2,"Enables quick repairs, can be used as improvised explosives"
Fusion Cutter,175,2,2,"Used for cutting through alloys, can be used as a weapon"
Hand Grinder,500,5,3,"Polishes and sands down metal surfaces, can be used as a weapon"
Mechanical Dianoga,225,4,4,Assists with repairs of vehicles and starships
Merr-Sonn VX-A Intelligent Toolbox,"2,500",3,8,Counts as a tool kit that significantly reduces time spent on repairs and crafting
Model-40 Field Repulsor Hoist,550,3,6,Lifts vehicles for repairs or mods
Multi-Goo Gun,250,2,1,"Repair spray, can be used as a weapon"
OR-Series Tech Recycling Station,"1,500",10,5,Recover materials from crafting and scavenging
Powered Entrenching Tool,625,5,4,Assists in building
Repulsor Clamp,250,3,1,Can lift large cargo off the ground by repulsor technology
Rivet Gun,900,4,1,"Assists in repairs, can be used as a weapon"
Slicewire,200,1,7,"Wire for cutting through any material, can be used as a weapon"
Surveyor's Tools,500,6,6,Assists in plotting locations and making maps
Tool Belt,500,3,5,Counts as a tool kit and allows quick access to tools
Tool Kit,350,4,2,Enables repairs on mechanical objects
Vibro-Pickaxe,650,5,3,"Enables breaking solid materials, can be used as a weapon"
Welding Rod,"1,750",4,5,"Assists in repairs, is a weapon"
X5R Heavy Demolitions Kit,"1,000",4,6,Improves ability to work with explosives
