Gear,Price,Enc.,Rare.,Features
Adamite Signet Ring,500,0,8,Signifies being part of the Paladins of the Adamite Tower
Ardos Disk,"10,000 (R)",1,5,Token of safe passage with a hutt clan
Cultural Etiquette Manual,35,0,3,Indicates cultural norms of a specific species
Diplomatic Authorization,"10,000 (R)",0,8,Provides a degree of diplomatic privileges
Falsified Credentials,800 (R),0,7,Appear as some official
Insider's Guide,25,0,2,Assists in finding services in specific region
Military Field Manual,25,1,4,Contains knowledge on military procedures
Musical Instrument (common),50-100,1-5,2,Instrument for playing music
Musical Instrument (high quality),500-1500,1-5,4,Instrument for playing music
Musical Instrument (legendary),"20,000+",1-5,10,Instrument for playing music
Species Database,150,2,2,Improves xenology ability
Urban Compass,125,1,1,Provides navigation assistance in cities
Wizard Pouch,50,-,4,Increases carrying capacity
WJ-880 Blinding Helmet,10 (R),3,8,Blinds user
Workshop Manual,100,1,-,Maintenance and repairs of specific vehicle is easier
