Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
Basic Lightsaber Hilt,Lightsaber,0,-,Engaged,1,5,,300,5,
Broadsaber Hilt,Lightsaber,0,-,Engaged,1,4,,600,6,Unwieldy 3
Crossguard Lightsaber Hilt,Lightsaber,0,-,Engaged,1,4,,900,7,Defensive 1
Double-Bladed Lightsaber Hilt,Lightsaber,0,-,Engaged,2,4,,600,6,"Linked 1, Unwieldy 3"
Great Lightsaber Hilt,Lightsaber,0,-,Engaged,2,5,,700,6,Cumbersome 3
Guard Shoto Hilt,Lightsaber,0,-,Engaged,1,3,,700,7,"Defensive 1, Deflection 2, Unwieldy 4"
Lightfoil Hilt,Lightsaber,0,-,Engaged,1,3,,350,6,Defensive 2
Lightsaber Pike Hilt,Lightsaber,0,-,Engaged,3,3,,600,7,"Cumbersome 3, Defensive 1"
Shoto Hilt,Lightsaber,0,-,Engaged,1,3,,300,6,Accurate 1
Temple Guard Lightsaber Pike Hilt,Lightsaber,0,-,Engaged,2,4,,"2,000",9,"Defensive 1, Linked 1, Stun 4, Unwieldy 3"
