Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
"Basic Lightsaber (GaG, FaD)",Lightsaber,6,2,Engaged,1,5,(R),"9,300",10,"Breach 1, Sunder"
"Basic Lightsaber (CotR, RotS)",Lightsaber,6,2,Engaged,1,5,,"8,000",10,"Breach 1, Sunder"
Broadsaber,Lightsaber,7,2,Engaged,1,2,(R),"11,000",10,"Breach 1, Sunder, Unwieldy 3"
Crossguard Lightsaber,Lightsaber,6,2,Engaged,1,4,(R),"9,700",10,"Breach 1, Defensive 1, Sunder"
Double-Bladed Lightsaber,Lightsaber,6,2,Engaged,2,4,(R),"18,600",10,"Breach 1, Linked 1, Sunder, Unwieldy 3"
Great Lightsaber,Lightsaber,7,2,Engaged,2,3,(R),"12,000",10,"Breach 1, Cumbersome 3, Sunder"
Guard Shoto,Lightsaber,5,2,Engaged,1,3,(R),"9,700",10,"Breach 1, Defensive 1, Deflection 2, Sunder, Unwieldy 4"
Lightfoil,Lightsaber,5,2,Engaged,1,1,(R),"9,850",10,"Breach 1, Defensive 2, Sunder"
Lightsaber,Lightsaber,10,1,Engaged,1,0,(R),"10,000",10,"Breach 1, Sunder, Vicious 2"
Lightsaber Pike,Lightsaber,6,2,Engaged,3,3,(R),"9,600",10,"Breach 1, Cumbersome 3, Defensive 1, Sunder"
"Shoto Lightsaber (GaG, FaD)",Lightsaber,5,2,Engaged,1,3,(R),"9,300",10,"Accurate 1, Breach 1, Sunder"
Shoto Lightsaber (RotS),Lightsaber,5,2,Engaged,1,3,,"8,000",10,"Accurate 1, Breach 1, Sunder"
Temple Guard Lightsaber Pike,Lightsaber,6,2,Engaged,2,4,(R),"20,000",10,"Breach 1, Defensive 1, Linked 1, Sunder, Stun 4, Unwieldy 3"
Training Lightsaber,Lightsaber,6,-,Engaged,1,5,,400,6,Stun Damage
