Name,Skill,Dam,Crit,Encum,HP,Price,Special
"""Czerhander"" VX Vibro-greatsword",Melee,+3,2,4,3,900,"Defensive 1, Pierce 2, Vicious 2"
'aKraB Clip-point Vibrodagger,Melee,+1,2,1,1,550,"Pierce 3, Vicious 1"
AB-75 Bo-Rifle (melee mode),Melee,+3,4,4,4,900,"Stun 5, Stun setting"
Activv1 Riot Shield,Melee,+0,6,5,1,300,"Cumbersome 3, Defensive 2, Deflection 2, Disorient 1"
Arg'garok (GaG),Melee,+5,3,5,3,"1,000","Cumbersome 5, Inaccurate 1, Pierce 1, Sunder"
Arg'garok (LoNH),Melee,+5,3,5,3,"1,000","Cumbersome 5, Inferior 1, Pierce 1, Sunder"
Ashla Staff,Melee,+2,3,4,2,"3,000",
Bardottan Electrolance,Melee,+2,3,3,2,300,"Defensive 2, Stun setting"
Bayonet,Melee,+1,3,1,-,50,
Beastmaster's Vibro-glaive,Melee,+2,2,3,3,975,"Defensive 2, Pierce 3"
Beskad,Melee,+3,2,4,2,"6,500","Cortosis, Cumbersome 3, Sunder, Vicious 3"
Blade-breaker,Melee,+0,4,1,1,250,"Defensive 2, Pierce 1, Sunder"
Boot Blade (GaG),Melee,+1,3,2,-,100,
Boot Blade (CaM),Melee,+1,3,-,-,100,
Ceremonial Blade,Melee,+2,3,2,3,650,Defensive 1
Combat Knife,Melee,+1,3,1,0,25,
Concealed Escape Kit (monoknife),Melee,+1,3,-,-,450,Pierce 1
Corellian Cutlass,Melee,+2,3,2,1,300,"Defensive 1, Vicious 1"
Cortosis Shield,Melee,+0,6,4,0,900,"Cortosis, Cumbersome 3, Defensive 2, Deflection 2"
Cortosis Staff (Refined),Melee,+3,5,4,2,"2,500",Cortosis
Cortosis Sword,Melee,+2,3,3,2,"1,350","Cortosis, Defensive 1"
CS-12 Stun Master,Melee,6,3,1,0,575,"Disorient 2, Stun Damage"
"Czerka ""Peacekeeper"" Stun Baton",Melee,+2,4,3,2,500,"Cumbersome 3, Disorient 2, Stun 3"
Diiro,Melee,+1,3,2,0,250,Defensive 1
Double-Bladed Vibrosword,Melee,+2,2,4,3,"1,300","Defensive 1, Linked 1, Pierce 2, Unwieldy 3, Vicious 1"
Duskblade,Melee,+3,3,2,1,"1,800","Pierce 2, Superior"
Electronet (GaG),Melee,+6,6,2,0,350,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage"
Electronet (KtP),Melee,6,6,2,0,350,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage"
Electrostaff,Melee,+4,3,4,3,"4,500","Cortosis, Cumbersome 3, Linked 1, Stun setting, Unwieldy 3"
Energy Buckler,Melee,+0,5,2,1,"1,000","Concussive 1, Defensive 1, Deflection 1"
Explorer's Knife,Melee,+1,3,2,0,100,Vicious 1
Fear Stick,Melee,5,-,1,0,"1,500","Limited Ammo 3, Pierce 1, Stun Damage"
Findsman Shockprod,Melee,+2,5,3,1,"1,400","Cortosis, Defensive 1, Stun Damage"
Flashstick,Melee,+2,-,2,2,375,"Disorient 3, Stun Damage"
Force Pike,Melee,+3,2,3,3,500,"Pierce 1, Stun setting"
Gaffi Stick,Melee,+2,3,3,0,100,"Defensive 1, Disorient 3"
Gungan Electropole,Melee,+2,4,3,2,450,"Stun 3, Stun setting"
Gungan Personal Energy Shield,Melee,-1,5,4,0,"1,000","Defensive 2, Deflection 2"
Huntsman Vibrospear,Melee,+3,3,4,2,950,"Pierce 2, Vicious 2"
Individual Field Disruptor,Melee,+2,-,-,0,"9,500",Stun Damage
Ion Pike,Melee,10,3,2,1,750,"Inaccurate 1, Ion, Pierce 4"
Kal,Melee,+2,2,1,1,"4,000","Cortosis, Sunder, Vicious 2"
Kyuzo War Shield,Melee,+1,4,3,0,750,"Cumbersome 3, Defensive 1, Deflection 2, Disorient 1"
Longeing Whip,Melee,+1,5,3,1,600,"Ensnare 2, Stun Damage"
M3 Bulwark Blast Shield,Melee,+1,6,6,1,600,"Cumbersome 3, Defensive 2, Deflection 2"
M8 Combat Knife,Melee,+1,3,1,1,150,"Accurate 1, Pierce 1"
MMD-18 Molecular Dagger,Melee,+2,3,1,1,100,Pierce 4
"Model 14 ""Stalker"" Vibrospear",Melee,+2,2,4,2,490,"Defensive 1, Pierce 2, Vicious 2"
Model 7 Therm-ax,Melee,+2,3,4,3,850,"Burn 2, Sunder, Vicious 1"
Mon Calamari Coral Pike,Melee,+3,2,3,3,"1,000","Defensive 1, Pierce 2"
Mon Calamari Energy Lance,Melee,+3,2,4,2,"1,500","Cumbersome 3 (dismounted), Pierce 3"
Mon Calamari Spear Blaster (spear profile),Melee,+2,3,5,3,"1,350",Pierce 1
Morgukai Cortosis Staff,Melee,8,1,3,0,"9,000","Breach 1, Cortosis, Defensive 1"
MSW-12 NanoDagger,Melee,+1,2,1,0,700,"Pierce 5, Vicious 1"
MSW-9 Molecular Stiletto,Melee,+0,2,1,1,500,"Pierce 5, Vicious 1"
Neuronic Lash,Melee,+1,5,1,1,800,"Ensnare 1, Stun 3, Stun Damage"
Neuronic Whip,Melee,+1,4,1,1,750,"Disorient 4, Ensnare 1, Stun Damage"
Ouro Blade,Melee,+1,3,1,0,600,
Parrying Dagger,Melee,+1,3,1,0,150,Defensive 1
Parrying Vibroblade,Melee,+1,2,1,2,400,"Defensive 1, Pierce 2, Vicious 1"
Punch Dagger,Melee,+1,3,1,1,75,Pierce 1
Retractable Wrist Blades,Melee,+1,3,-,-,150,Pierce 1
Rodian Cryogen Whip,Melee,+2,3,1,1,"1,550","Ensnare 1, Vicious 2, Unwieldy 3"
"RS01 ""Ripper"" Powersword",Melee,+3,2,4,3,"1,050","Cumbersome 3, Pierce 2, Sunder, Knockdown, Vicious 2"
Ryyk Blade,Melee,+2,2,3,3,400,"Cumbersome 3, Defensive 1, Superior"
Selonian Glaive,Melee,+3,3,5,3,"1,200","Defensive 1, Pierce 3"
Semblan Obsidian Dagger,Melee,+0,1,1,0,300,
Shistavanen Combat Utility Vibroblade,Melee,+1,2,2,0,600,"Pierce 2, Vicious 1"
Shock Whip,Melee,4,4,3,2,600,"Ensnare 3, Stun Damage"
Shockprod Staff,Melee,7,3,4,3,"1,500","Disorient 4, Stun setting"
Sith Shield,Melee,+1,4,3,2,"10,000","Cortosis, Defensive 1, Deflection 2, Vicious 1"
Snap Baton,Melee,+1,4,1,1,50,Disorient 2
"SoroSuub ""Persuader"" Animal Shock Prod",Melee,+2,4,4,2,"1,000","Concussive 1, Slow-Firing 1, Stun Setting"
Spray Stick (stun pad),Melee,+2,-,4,0,"2,500","Inaccurate 1, Stun Damage"
"Mk II ""Paladin"" Blaster Rifle (stun prod)",Melee,+2,6,4,2,"3,250","Disorient 2, Stun Damage"
Staff of Office,Melee,+2,4,3,2,350,"Defensive 1, Disorient 2"
Stealth Vibroknife,Melee,+1,2,1,1,350,"Pierce 1, Vicious 1"
Sword Cane,Melee,+2,3,2,1,475,Defensive 1
Thunderbolt Shock Prod,Melee,5,3,2,2,875,"Concussive 1, Stun Damage"
Trailbreaker Poleaxe,Melee,+3,3,5,1,610,"Defensive 1, Pierce 2, Unwieldy 2"
Truncheon,Melee,+2,5,2,0,15,Disorient 2
Tuskbeast Pike,Melee,+4,3,3,1,"1,050","Defensive 1, Knockdown"
"TZ-97 ""Zapper"" Shock Baton",Melee,5,4,2,2,900,"Concussive 1, Stun Damage"
Vibro-ax,Melee,+3,2,4,3,750,"Pierce 2, Sunder, Vicious 3"
Vibro-bayonet,Melee,+1,2,1,-,300,"Inaccurate 1, Pierce 2, Vicious 1"
Vibro-machete,Melee,+2,2,2,1,550,"Pierce 1, Sunder, Vicious 1"
Vibroknife,Melee,+1,2,1,2,250,"Pierce 2, Vicious 1"
Vibrorang (in melee),Melee,+2,2,1,0,300,"Inaccurate 1, Pierce 2, Vicious 1"
Vibrorapier,Melee,+2,2,2,2,"1,200","Defensive 1, Pierce 4"
Vibrosword,Melee,+2,2,3,3,750,"Defensive 1, Pierce 2, Vicious 1"
Voss Warspear,Melee,+2,4,4,2,215,Defensive 2
Weik Greatsword,Melee,+4,3,4,2,315,"Cumbersome 4, Defensive 1"
Z2 Stun Baton,Melee,+2,6,2,2,200,"Disorient 2, Stun Damage"
Z6 Riot Control Baton,Melee,+2,5,2,1,1000,"Cortosis, Disorient 2, Stun Damage"
