Name,Skill,Dam,Crit,Range,Encumbrance,HP,(Restricted),Price,Rarity,Special,Category
"""Precision-X"" Marksman Rifle",Ranged (Heavy),9,3,Long,5,1,,"1,500",8,"Pierce 1, Stun setting",BLASTERS
"""Renegade"" Heavy Blaster Pistol",Ranged (Light),8,3,Medium,2,3,,950,4,"Inaccurate 1, Stun setting",BLASTERS
"""Security"" S-5 Heavy Blaster Pistol",Ranged (Light),7,3,Medium,3,1,,"1,250",7,Stun setting,BLASTERS
"""Subduer-9"" Riot Blaster (GaG)",Ranged (Heavy),10,6,Long,6,3,,"1,250",5,"Blast 6, Cumbersome 3, Stun Damage",BLASTERS
"""Subduer-9"" Riot Blaster (ND)",Ranged (Heavy),10,6,Short,6,3,,"1,250",5,"Blast 6, Cumbersome 3, Stun Damage",BLASTERS
12 Defender,Ranged (Light),5,5,Short,1,0,,25,4,"Inferior, Limited Ammo 2",BLASTERS
A280-CFE Convertible Heavy Blaster Pistol (pistol mode),Ranged (Light),8,3,Medium,3,1,(Restricted),"1,700",7,Stun setting,BLASTERS
A280-CFE Convertible Heavy Blaster Pistol (rifle mode),Ranged (Heavy),8,3,Long,3,1,(Restricted),"1,700",7,"Accurate 1, Pierce 1, Stun setting",BLASTERS
A280C Heavy Blaster Rifle,Ranged (Heavy),9,4,Long,5,2,,"1,800",7,"Accurate 1, Cumbersome 3, Stun setting",BLASTERS
A95 Stingbeam,Ranged (Light),5,3,Engaged,1,0,,400,5,"Stun setting, Vicious 1",BLASTERS
AB-75 Bo-Rifle,Ranged (Heavy),8,4,Medium,4,4,(Restricted),900,7,Stun Setting,BLASTERS
ACP Repeater Gun,Ranged (Heavy),7,3,Medium,3,1,,"1,000",6,"Auto-fire, Stun setting",BLASTERS
Accelerated Charged Particle Array Gun,Ranged (Heavy),6,3,Short,3,3,,890,6,"Blast 6, Stun Setting",BLASTERS
ATA Pulse-Wave Blaster,Ranged (Light),5,3,Short,2,2,(Restricted),750,6,Vicious 3,BLASTERS
DH-17c Short Carbine,Ranged (Heavy),4,3,Short,3,2,,950,6,"Auto-fire, Stun setting",BLASTERS
DL-7H Heavy Blaster Pistol,Ranged (Light),8,3,Medium,2,2,(Restricted),850,6,,BLASTERS
SE-14r Light Repeating Blaster,Ranged (Light),6,3,Medium,2,3,(Restricted),"1,000",6,"Auto-fire, Stun setting",BLASTERS
Blaster Carbine,Ranged (Heavy),9,3,Medium,3,4,,850,5,Stun setting,BLASTERS
Blaster Pistol,Ranged (Light),6,3,Medium,1,3,,400,4,Stun setting,BLASTERS
Blaster Rifle,Ranged (Heavy),9,3,Long,4,4,,900,5,Stun setting,BLASTERS
Bola Carbine,Ranged (Heavy),8,3,Medium,3,3,,"1,600",6,"Accurate 1, Ensnare 1",BLASTERS
Boonta Blaster,Ranged (Light),6,3,Short,1,1,,"1,000",8,Stun setting,BLASTERS
BR-219 Heavy Blaster Pistol,Ranged (Light),8,3,Short,2,2,(Restricted),625,7,"Stun setting, Vicious 2",BLASTERS
"C-10 ""Dragoneye Reaper"" Heavy Blaster Pistol",Ranged (Light),8,3,Medium,3,3,,"1,000",7,Stun setting,BLASTERS
CDEF Blaster Pistol,Ranged (Light),5,4,Medium,1,1,,150,4,"Inferior, Stun setting",BLASTERS
CR-2 Heavy Blaster Pistol,Ranged (Light),7,4,Medium,2,2,,600,5,Stun setting,BLASTERS
CR-8 Takedown Rifle,Ranged (Heavy),9,3,Extreme,4,1,(Restricted),"3,250",7,"Accurate 2, Prepare 2, Pierce 2, Slow-Firing 1",BLASTERS
HL-27 Light Blaster Pistol,Ranged (Light),5,3,Medium,1,2,,450,4,"Accurate 1, Stun setting",BLASTERS
"CS14 ""Ghost"" Light Blaster Pistol",Ranged (Light),5,3,Short,1,0,(Restricted),550,6,Stun setting,BLASTERS
Cybernetic Weapon Implant (light blaster pistol),Ranged (Light),5,4,Medium,-,2,,"4,000",7,Stun setting,BLASTERS
411 Holdout Blaster,Ranged (Light),4,4,Medium,1,1,(Restricted),350,5,Stun setting,BLASTERS
DC-12U Beam Rifle,Ranged (Heavy),7,3,Medium,3,3,(Restricted),"1,600",7,Linked 1,BLASTERS
DC-15 Blaster Rifle,Ranged (Heavy),10,3,Long,6,4,(Restricted),"2,200",6,"Cumbersome 3, Pierce 1, Stun setting",BLASTERS
DC-15A Blaster Carbine (CotR),Ranged (Heavy),9,3,Medium,3,4,(Restricted),"1,400",5,"Auto-fire, Pierce 1, Stun setting",BLASTERS
DC-15A Blaster Carbine (RotS),Ranged (Heavy),9,3,Medium,3,4,(Restricted),"1,500",5,"Auto-fire, Pierce 1, Stun setting",BLASTERS
DC-17 Hand Blaster,Ranged (Light),7,3,Medium,2,3,(Restricted),"1,000",6,"Accurate 1, Stun setting",BLASTERS
DDC-MR6 Modular Rifle,Ranged (Heavy),7,3,Medium,3,6,,"1,000",6,Stun setting,BLASTERS
DE-10 Blaster Pistol,Ranged (Light),6,2,Long,1,2,,"1,400",8,"Accurate 1, Stun setting",BLASTERS
Defender Sporting Blaster Pistol,Ranged (Light),5,3,Medium,1,1,,650,6,"Stun setting, Accurate 1",BLASTERS
DH-17 Blaster Carbine (GaG),Ranged (Heavy),8,3,Medium,2,3,,900,6,"Auto-fire, Inaccurate 2, Stun setting",BLASTERS
DH-17 Blaster Carbine (FiB),Ranged (Heavy),8,3,Medium,2,3,,900,6,"Auto-fire, Inaccurate 1, Stun setting",BLASTERS
DH-X Heavy Blaster Rifle,Ranged (Heavy),10,3,Long,7,4,,"1,900",6,"Cumbersome 3, Pierce 2",BLASTERS
Disruptor Pistol,Ranged (Light),10,2,Short,2,2,(Restricted),"3,000",6,Vicious 4,BLASTERS
Disruptor Rifle,Ranged (Heavy),10,2,Long,5,4,(Restricted),"5,000",6,"Cumbersome 2, Vicious 5",BLASTERS
DL-19C Blaster Pistol (GaG),Ranged (Light),5,4,Medium,1,4,,"1,000",4,Stun setting,BLASTERS
DL-19C Blaster Pistol (SM),Ranged (Light),5,4,Medium,1,4,,450,4,Stun setting,BLASTERS
DLS-12 Heavy Blaster Carbine,Ranged (Heavy),10,3,Medium,4,3,,"1,350",7,"Auto-fire, Cumbersome 2",BLASTERS
DLT-19D Heavy Blaster Rifle,Ranged (Heavy),10,3,Long,5,1,(Restricted),"3,100",9,"Accurate 2, Auto-fire, Cumbersome 3, Pierce 2",BLASTERS
"DR-45 ""Dragoon"" Cavalry Blaster (pistol mode | GaG)",Ranged (Light),8,3,Medium,1,3,,"1,900",6,"Accurate, Stun setting",BLASTERS
"DR-45 ""Dragoon"" Cavalry Blaster (carbine mode | GaG)",Ranged (Heavy),8,3,Medium,1,3,,"1,900",6,"Accurate, Stun setting",BLASTERS
"DR-45 ""Dragoon"" Cavalry Blaster (pistol mode | SoT)",Ranged (Light),8,3,Medium,1,3,,"1,900",6,"Accurate 1, Stun setting",BLASTERS
"DR-45 ""Dragoon"" Cavalry Blaster (carbine mode | SoT)",Ranged (Heavy),8,3,Medium,1,3,,"1,900",6,"Accurate 1, Stun setting",BLASTERS
Droid Disruptor,Ranged (Light),6,3,Short,2,1,,800,7,Vicious 3 (droid only),BLASTERS
Dueling Pistol (GaG),Ranged (Light),9,2,Short,2,2,,750,5,"Accurate 1, Limited Ammo 1, Prepare 1",BLASTERS
Dueling Pistol (SoF),Ranged (Light),9,2,Short,2,2,,750,5,"Accurate 1, Limited Ammo 1, Pierce 1",BLASTERS
E-11D Blaster Carbine,Ranged (Heavy),9,3,Medium,3,2,(Restricted),"1,400",9,Stun setting,BLASTERS
E-11s Sniper Rifle (GaG),Ranged (Heavy),10,3,Extreme,6,3,(Restricted),"3,500",7,"Accurate 1, Cumbersome 2, Pierce 3, Slow-Firing 1",BLASTERS
E-11s Sniper Rifle (EtU),Ranged (Heavy),10,3,Extreme,6,3,(Restricted),"3,500",7,"Accurate 1, Cumbersome 2, Pierce 3, Slow-Firing 1",BLASTERS
E-22 Blaster Rifle,Ranged (Heavy),8,3,Medium,4,2,(Restricted),"1,500",8,"Cumbersome 2, Linked 1,Stun setting",BLASTERS
E-5 Blaster Rifle,Ranged (Heavy),9,3,Long,2,2,,600,4,Stun setting,BLASTERS
E5 Blaster Carbine,Ranged (Heavy),9,3,Medium,3,4,,550,3,"Inaccurate 1, Stun setting",BLASTERS
EE-3 Blaster Carbine,Ranged (Heavy),8,3,Medium,3,3,,"1,500",6,"Auto-fire, Stun setting",BLASTERS
ELG-3A Blaster Pistol,Ranged (Light),6,4,Short,1,0,,400,5,Stun setting,BLASTERS
GALAAR-15 Blaster Carbine,Ranged (Heavy),9,2,Long,4,4,,"1,100",7,"Accurate 1, Stun setting",BLASTERS
GLX Firelance Blaster Rifle,Ranged (Heavy),7,3,Long,3,3,,"1,600",6,"Auto-fire, Disorient 2, Stun setting",BLASTERS
