Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
"""Precision-X"" Marksman Rifle",Ranged (Heavy),9,3,Long,5,1,,"1,500",8,"Pierce 1, Stun setting"
"""Renegade"" Heavy Blaster Pistol",Ranged (Light),8,3,Medium,2,3,,950,4,"Inaccurate 1, Stun setting"
"""Security"" S-5 Heavy Blaster Pistol",Ranged (Light),7,3,Medium,3,1,,"1,250",7,Stun setting
"""Subduer-9"" Riot Blaster (GaG)",Ranged (Heavy),10,6,Long,6,3,,"1,250",5,"Blast 6, Cumbersome 3, Stun Damage"
"""Subduer-9"" Riot Blaster (ND)",Ranged (Heavy),10,6,Short,6,3,,"1,250",5,"Blast 6, Cumbersome 3, Stun Damage"
12 Defender,Ranged (Light),5,5,Short,1,0,,25,4,"Inferior, Limited Ammo 2"
A280-CFE Convertible Heavy Blaster Pistol (pistol mode),Ranged (Light),8,3,Medium,3,1,(R),"1,700",7,Stun setting
A280-CFE Convertible Heavy Blaster Pistol (rifle mode),Ranged (Heavy),8,3,Long,3,1,(R),"1,700",7,"Accurate 1, Pierce 1, Stun setting"
A280C Heavy Blaster Rifle,Ranged (Heavy),9,4,Long,5,2,,"1,800",7,"Accurate 1, Cumbersome 3, Stun setting"
A95 Stingbeam,Ranged (Light),5,3,Engaged,1,0,,400,5,"Stun setting, Vicious 1"
AB-75 Bo-Rifle,Ranged (Heavy),8,4,Medium,4,4,(R),900,7,Stun Setting
ACP Repeater Gun,Ranged (Heavy),7,3,Medium,3,1,,"1,000",6,"Auto-fire, Stun setting"
Accelerated Charged Particle Array Gun,Ranged (Heavy),6,3,Short,3,3,,890,6,"Blast 6, Stun Setting"
ATA Pulse-Wave Blaster,Ranged (Light),5,3,Short,2,2,(R),750,6,Vicious 3
DH-17c Short Carbine,Ranged (Heavy),4,3,Short,3,2,,950,6,"Auto-fire, Stun setting"
DL-7H Heavy Blaster Pistol,Ranged (Light),8,3,Medium,2,2,(R),850,6,
SE-14r Light Repeating Blaster,Ranged (Light),6,3,Medium,2,3,(R),"1,000",6,"Auto-fire, Stun setting"
Blaster Carbine,Ranged (Heavy),9,3,Medium,3,4,,850,5,Stun setting
Blaster Pistol,Ranged (Light),6,3,Medium,1,3,,400,4,Stun setting
Blaster Rifle,Ranged (Heavy),9,3,Long,4,4,,900,5,Stun setting
Bola Carbine,Ranged (Heavy),8,3,Medium,3,3,,"1,600",6,"Accurate 1, Ensnare 1"
Boonta Blaster,Ranged (Light),6,3,Short,1,1,,"1,000",8,Stun setting
BR-219 Heavy Blaster Pistol,Ranged (Light),8,3,Short,2,2,(R),625,7,"Stun setting, Vicious 2"
