Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
"""Lightning"" 22 Ion Grenade",Ranged (Light),10,5,Short,1,0,,65,4,"Blast 7, Disorient 5, Limited Ammo 1, Stun Damage (Droid Only)"
AP-M1 Armor Piercing Grenade,Ranged (Light),13,3,Short,1,0,(R),200,6,"Blast 4, Limited Ammo 1, Pierce 4"
Armor-piercing Grenade,Ranged (Light),13,3,Short,1,0,,100,6,"Blast 4, Limited Ammo 1, Pierce 3"
"BKX-4 ""Shockwave"" Grenade",Ranged (Light),10,5,Short,1,0,(R),150,5,"Blast 8, Knockdown, Disorient 4 Limited Ammo 1"
Blue Shadow Grenade,Ranged (Light),3,3,Short,1,0,(R),"2,000",9,"Blast 3, Limited Ammo 1"
Knockout Mine,Ranged (Light),6,NA,Short,1,0,,200,6,"Stun Damage, Limited Ammo 1"
Concussion Grenade,Ranged (Light),10,5,Short,1,0,(R),100,5,"Blast 8, Concussive 2, Disorient 5, Limited Ammo 1"
"D-24 ""Inferno"" Grenade (GaG)",Ranged (Light),8,3,Short,1,0,(R),75,5,"Blast 3, Limited Ammo 1"
"D-24 ""Inferno"" Grenade (DC)",Ranged (Light),8,3,Short,1,0,(R),75,5,"Blast 5, Burn 2, Limited Ammo 1"
Fragmentation Grenade,Ranged (Light),8,4,Short,1,0,,50,5,"Blast 6, Limited Ammo 1"
G-20 Glop Grenade (GaG),Ranged (Light),0,-,Short,1,0,,100,6,"Ensnare 3, Limited Ammo 1"
G-20 Glop Grenade (EtU),Ranged (Light),-,-,Short,1,0,,100,6,"Blast -, Ensnare 3"
Mk.4 Heavy Fragmentation Grenade,Ranged (Light),9,4,Short,1,0,(R),75,5,"Blast 7, Limited Ammo 1, Cumbersome 2"
"""Mercy"" Grenade",Ranged (Light),5,-,Short,1,0,,175,8,"Blast 5, Limited Ammo 1, Stun Damage"
Incendiary Grenade,Ranged (Light),8,3,Short,1,0,(R),125,6,"Blast 8, Burn 3, Limited Ammo 1"
Knockout Grenade,Ranged (Light),12,NA,Short,1,0,,120,5,"Blast 10, Stun Damage, Limited Ammo 1"
Mk II EMP Grenade,Ranged (Light),8,4,Short,1,0,,150,5,"Blast 6, Disorient 3, Ion, Limited Ammo 1"
Molten Magnet,Ranged (Light),9,4,Short,1,0,(R),"1,500",6,"Breach 1, Burn 1, Limited Ammo 1, Sunder"
N-4 Noise Grenade,Ranged (Light),4,6,Short,1,0,,150,5,"Blast 4, Concussive 1, Limited Ammo 1, Stun Damage"
Plasma Grenade,Ranged (Light),12,3,Short,1,0,,125,6,"Blast 10, Limited Ammo 1"
Poison Gas Grenade,Ranged (Light),0,-,Short,1,0,,50,5,"Blast 2, Limited Ammo 1"
Quillbomb,Ranged (Light),5,2,Short,1,0,(R),100,6,"Pierce 2, Blast 3, Limited Ammo 1, Vicious 3"
Shaped Thermal Grenade (GaG),Ranged (Light),20,2,Short,1,0,(R),"3,500",5,"Breach 2, Limited Ammo 1, Vicious 5"
Shaped Thermal Grenade (FiB),Ranged (Light),20,2,Short,1,0,(R),"3,500",8,"Breach 2, Limited Ammo 1, Vicious 5"
Sonic Grenade,Ranged (Light),10,4,Short,1,0,(R),250,6,"Blast 8, Disorient 5, Limited Ammo 1, Stun Damage"
Spore Stun Grenade (GaG),Ranged (Light),8,-,Short,1,0,,100,7,"Blast 7, Concussive 2, Limited Ammo 1, Pierce 3, Stun Damage"
Spore Stun Grenade (DoH),Ranged (Light),8,-,Short,1,0,,100,7,"Blast 7, Limited Ammo 1, Pierce 3, Stun Damage"
Spore/B Stun Grenade,Ranged (Light),6,3,Short,1,0,,400,5,"Blast 6, Concussive 2, Limited Ammo 1, Stun Damage"
Spray Foam Grenade,Ranged (Light),-,-,Short,1,0,,150,5,"Ensnare 4, Limited Ammo 1"
Stun Grenade,Ranged (Light),8,NA,Short,1,0,,75,4,"Blast 8, Disorient 3, Limited Ammo 1, Stun Damage"
Thermal Detonator,Ranged (Light),20,2,Short,1,0,(R),"2,000",8,"Blast 15, Breach 1, Limited Ammo 1, Vicious 4"
Wipe-3 Data-Purge Grenade,Ranged (Light),-,-,Short,1,0,,100,7,Limited Ammo 1
WP-19 Incendiary Grenade,Ranged (Light),8,3,Short,1,0,(R),125,6,"Blast 8, Burn 4, Limited 1"
WW-41 CryoBan Grenade,Ranged (Light),8,2,Short,1,0,,220,7,"Blast 6, Disorient 3, Ensnare 3, Limited Ammo 1, Vicious 2"
