Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
"""Impact"" Repulsor Cannon",Ranged (Heavy),3,6,Medium,5,1,,"1,000",7,"Blast 3, Concussive 1, Knockdown, Prepare 1, Slow-Firing 1"
AJ-23 Concussive Rifle,Ranged (Heavy),8,5,Short,4,2,,"8,000",4,"Blast 7, Concussive 2, Inaccurate 2, Knockdown, Stun Damage"
1.8 FD Anti-Infantry Autoturret,Gunnery,17,2,Extreme,25,0,(R),"12,000",6,"Auto-fire, Slow-Firing 1, Limited Ammo 8"
Bowcaster (microexplosive quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Cumbersome 3, Knockdown"
Bowcaster (armor-piercing quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Cumbersome 3, Pierce 3"
Bowcaster (high explosive quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Blast 6, Cumbersome 3"
Bowcaster (sonic detonator quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Blast 4, Disorient 2, Cumbersome 3"
Bowcaster (flash quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Concussive 1, Cumbersome 3"
Bowcaster (smoke quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,Cumbersome 3
D-29 Repulsor Rifle,Gunnery,8,4,Medium,3,3,,"1,550",7,"Disorient 3, Knockdown, Stun Damage"
Energy Bow,Ranged (Heavy),8,2,Medium,4,2,(R),"2,800",8,"Pierce 4, Unwieldy 3, Vicious 2"
Energy Slingshot,Ranged (Light),3,-,Short,1,0,,40,4,"Disorient 2, Stun Damage"
Electronet (GaG),Melee,+6,6,Medium,2,0,,350,6,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage"
Electronet (KtP),Melee,6,6,Medium,2,0,,350,6,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage"
Electronet Launcher,Ranged (Heavy),6,-,Short,6,3,,"2,000",7,"Ensnare 5, Stun Damage"
Droid Disabler,Ranged (Light),12,3,Short,1,1,,"1,050",5,"Concussive 1, Ion, Limited Ammo 3"
Kyuzo Energy Bow,Ranged (Heavy),9,4,Long,6,1,,"2,400",8,"Cumbersome 3, Knockdown, Pierce 5"
Lightbow,Ranged (Heavy),11,3,Long,5,1,,"2,000",8,"Blast 4, Knockdown, Pierce 3, Slow-Firing 1"
SWE/2 Sonic Rifle,Ranged (Heavy),8,6,Long,4,0,,"1,200",6,"Concussive 1, Slow-Firing 1, Stun Damage"
