Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
Corellian Compound Bow (regular arrows),Ranged (Heavy),5,5,Medium,3,1,,200,5,"Cumbersome 3, Knockdown, Limited Ammo 1, Pierce 1"
Dart Gun (gear attachment),Ranged (Light),2,5,Short,-,-,,200,4,"Limited Ammo 1, Pierce 1"
Explosive Tipped Arrows (Corellian Compound Bow),Ranged (Light),6,5,Medium,0,0,,50,6,"Blast 4, Limited Ammo 1"
Explosive Tipped Arrow (FS19 Compound Bow),Ranged (Heavy),6,3,Medium,0,0,,50,5,"Blast 4, Limited Ammo 1"
FS19 Compound Bow (broadhead arrow),Ranged (Heavy),5,4,Medium,4,2,,500,7,"Cumbersome 3, Limited Ammo 1, Pierce 1, Vicious 2"
Incendiary Arrow (FS19 Compound Bow),Ranged (Heavy),6,5,Medium,0,0,,60,5,"Burn 2, Limited Ammo 1"
Net Arrow (FS19 Compound Bow),Ranged (Heavy),2,NA,Medium,0,0,,30,5,"Ensnare 2, Limited Ammo 1"
Stun Arrows (Corellian Compound Bow),Ranged (Light),6,NA,Medium,0,0,,60,6,"Limited Ammo 1, Stun Damage"
Stun Arrow (FS19 Compound Bow),Ranged (Heavy),6,NA,Medium,0,0,,60,6,"Limited Ammo 1, Stun Damage"
Grapnel-Harpoon Launcher,Ranged (Light),3,5,Medium,2,0,,450,5,Ensnare 3
Mk I Saberdart,Ranged (Light),1,-,Long,3,2,,"1,600",9,Limited Ammo 1
Longbow,Ranged (Heavy),5,5,Long,5,1,,120,4,"Cumbersome 3, Limited Ammo 1, Pierce 1"
NX-14 Needler,Ranged (Light),5,-,Short,1,1,(R),650,7,Pierce 3
Stealth-2VX Palm Shooter,Ranged (Light),1,5,Short,0,0,,300,5,Limited Ammo 3
Styanax Lance,Ranged (Heavy),8,3,Short,8,2,,200,8,"Cumbersome 4, Limited Ammo 1, Pierce 3, Vicious 1"
Vac Attack Mk-127 Concealable Disc Launcher,Ranged (Light),6,3,Short,0,1,,800,7,"Limited Ammo 4, Pierce 1, Vicious 1"
