Type,Defense,Soak,HP,Encumbrance,(Restricted),Price,Rarity0to10,Category
Banal Apparel,0,0,0,-,,25,0,ATTIRE & OTHER CLOTHES
Cargo Clothes,0,0,0,1,,30,0,ATTIRE & OTHER CLOTHES
Concealing Robes,0,1,0,1,,150,2,ATTIRE & OTHER CLOTHES
Diplomat's Robes,0,0,0,2,,400,6,ATTIRE & OTHER CLOTHES
Heavy Clothing,0,1,0,1,,50,0,ATTIRE & OTHER CLOTHES
Heavy Robes,1,0,0,1,,150,2,ATTIRE & OTHER CLOTHES
Holographic Costume,1,0,0,2,,750,8,ATTIRE & OTHER CLOTHES
Lector's Outfit,0,1,1,2,,525,6,ATTIRE & OTHER CLOTHES
Noble Regalia,0,0,3,1,,750,7,ATTIRE & OTHER CLOTHES
Nomad Greatcoat,0,1,0,1,,100,4,ATTIRE & OTHER CLOTHES
Performer's Attire,0,0,0,0,,50,4,ATTIRE & OTHER CLOTHES
Pit Crew Coveralls,0,1,1,1,,150,2,ATTIRE & OTHER CLOTHES
Polis Massan Bodysuit,0,1,1,1,,300,6,ATTIRE & OTHER CLOTHES
Resplendent Robes,0,1,0,2,,500,5,ATTIRE & OTHER CLOTHES
Smuggler's Trenchcoat,1,1,0,3,,"1,650",7,ATTIRE & OTHER CLOTHES
Tracker Utility Vest,0,0,1,-,,100,2,ATTIRE & OTHER CLOTHES
AniPro Layered Beast Armor,1,1,0,4,,"2,500",5,BEAST ARMOR & EQUIPMENT
Caballerin-Series Riding Tack,0,0,0,2,,250,4,BEAST ARMOR & EQUIPMENT
Capari-series Padded Beast Armor,0,2,0,4,,"2,500",5,BEAST ARMOR & EQUIPMENT
Destri-series Laminate Beast Armor,0,4,1,7,,"8,500",7,BEAST ARMOR & EQUIPMENT
H-series Megafauna Carriage,1,0,2,5,,"5,500",7,BEAST ARMOR & EQUIPMENT
Ancient Battle Armor,0,2,1,6,,"3,750",9,HEAVY
"PX-11 ""Battlement"" Powered Armor",1,3,3,3,(Restricted),"9,000",9,HEAVY
