Gear,Price,Encumbrance,Rarity0to10,Features
"""Survivalist"" Mess Kit",10,0,3,Kitchenware in a compact package
A99 Aquata Breather,100,0,7,Disposal breather for use underwater for 2 hours
A99 Custom Biome Generator,"9,000",45,4,Can produce any biome in the universe
Aquasuit,250,3,2,"Allows for movement underwater, as well as atmosphere, nutrition and fresh water"
Beast Call,100,1,3,Lures beasts with pre-recorded audio
Breath Mask/Respirator,25,1,1,Allows breathing in conditions that would be asphyxiating
Camouflage Netting,100,4,2,Makes cloaked item much harder to see
Condenser Unit,300,2,2,"Gathers water over time, with in-built battery"
CorChemCo Beastmaster Chem Lure,125,1,4,Beast is compelled to the lure location
CorChemCo Fire Paste,3,0,1,Self-ignites for an hour
Corellian Technologies Savior Anti-Grav Chute,450,1,5,Lowers one down to the ground safely
Crash Survival Kit,300,5,2,Includes a large number of emergency equipment
Czerka BC-7 Environmental Cocoon,"2,000",3,4,Sleeping bag with environmental control technology
Degan Explorations Synthrope,5,1,1,20 metre long super-rope
Disaster Relief Kit,250,2,2,Contains basic supplies to sustain a handful of individuals for a week or so
Electro-Snare,50,1,5,Stuns a target which is caught
Elysium Model 2 Atmospheric Processor,"4,500,000","10,000",7,Smallest terraforming unit available
Entrenching Tool,20,1,1,"Used for building fortifications, and is a weapon"
Fabritech CN-21 Camouflage Paint,40,0,2,Conceals a person or small item
Fabritech CX-2000 Holographic Ghillie Suit,800,1,8,"When immobile, makes wearer harder to see"
FasClean Atmospheric Reactive Damper,"200,000",300,5,Scrubs atmosphere of pollutants
Field Ration Pack,5,0,0,Single meal
FlashFire Camp Stove,60,2,4,Portable cooking plate
Gandorthral Atmospherics Scout 5 Field Goggles,5,0,0,Eye protection
Gandorthral Portable Survival Shelter,200,2,4,Quick setup shelter
GX-8 Water Vaporator,"2,000",12,2,Produces water from the air
Imperial Army Canteen,7,1,1,Holds 1.5L of liquid and purifies water
Imperial Army Field Rations,10,0,2,Provides 1 week of nutrition
Instamist Generator,150,5,4,Produces a heavy fog
Jedi Utility Belt,"1,000 (Restricted)",0,8,Contains a number of compact tools and items useful to jedi in the field
Kamperdine Clothing Specialists Body Glove,700,2,4,Provides cooling or heating for the wearer
Luma Flare,50,1,4,Flare gun which can be used as a weapon or illuminate an area
Mk. III Modular Backpack,75,-,1,Increase carrying capacity
Mk. III Modular Backpack (extra pockets),15,-,1,Fits into backpack for additional carrying capacity
Pannier Modular Cargo Handling System,500,-,5,Increases carrying capacity of large beasts
Pannier Modular Cargo Handling System (extra containers),350,-,4,Fits into module for additional carrying capacity
Portable Electric Perimeter Fence,800,6,5,A fence which stuns on impact
Portable Power Generator,500,10,2,"Recharges large equipment, energy weapons or droids"
Portable Shelter,200,2,2,Quick setup shelter
Pretormin Environmental WPR-60,100,4,1,Purifies water
Pretormin Plastent,300,3,2,Resilient shelter
Riding Tack,100,3,4,Eases the riding of beasts
Rim Excursions Inc. Tauntaun Pup Tent,30,3,2,Shelter which protects against cold
Saddlebags,25,-,4,Bags for beasts to wear
Saladar Systems PED-21 Distress Beacon,50,-,1,Makes one easier to find
Spacesuit,100,4,1,Allows operation in space
Survival Equipment Inc. Field Kitchen,500,5,4,"Allows cooking in the field, as well as identification of safe ingredients"
Survival Equipment Inc. Viscera Field Dressing Kit,300,3,5,Eases the harvest of meat and organs from beasts
TaggeCo Food Preparation System,20,3,1,Portable simplified stove
Tent,100,4,1,Provides shelter
Thermal Cloak,200,2,1,Protects from cold and hot environments
Thermal Cutter,125,2,3,"Cuts through snow and ice, is also a weapon"
Training Weights,100,3,3,"Weighs user down, but builds abilities"
Water Purifier,50,1,2,Purifies water from contaminated sources
Wilderness Survival Kit,350,5,2,Contains an array of wilderness-relevant emergency items
