Gear,Price,Encumbrance,Rarity0to10,Features,Category
Aratech R82 Jump Boots,"2,000",2,6,Jetpack on boots,General Equipment
Backpack,50,-,0,Increases carrying capacity,General Equipment
BlasTech Model 58 Concealment Holster,40,0,3,Conceals a small weapon,General Equipment
Climbing Gear,50,1,2,Allows rappelling and climbing,General Equipment
Creshaldyne Mk. IV Modular Backpack (backpack),75,-,1,Increases carrying capacity,General Equipment
Creshaldyne Mk. IV Modular Backpack (pouch),15,-,1,Increases carrying capacity,General Equipment
Data Goggles,250,1,1,Displays information on goggles,General Equipment
Datapad,75,1,1,Handheld computer system,General Equipment
Draxton DF-15 Medium-Yield Fusion Generator,550,4,4,Portable power pack for an array of items,General Equipment
Emergency Repair Patch,25,0,1,Quick-repairs droids,General Equipment
Extra Reload,25,1,1,Reloads weapon,General Equipment
Foot Speeder,"2,000",4,4,Compact speeder,General Equipment
Fusion Lantern,150,2,2,"Heater, energy source and light source",General Equipment
Glow Rod,10,1,0,Illuminates with beam of light,General Equipment
Hologoggles,"6,000",1,6,Provides a virtual reality when worn for training,General Equipment
HoloNet Homing Beacon,500,0,3,Allows tracking through space,General Equipment
Imperial Army Military Pack,60,-,0,Cumbersome increase in carrying capacity,General Equipment
Jet Pack,"4,500",2,7,Backpack sized transport option,General Equipment
JT-12C Jetpack,"4,750",2,7,Backpack sized transport option,General Equipment
Load-Bearing Gear,100,-,3,Increases carrying capacity,General Equipment
Mem-Stik,30,0,2,Small data storage option,General Equipment
"Merr-Sonn ""Rider"" Ascension Pistol",275,1,4,Grappling hook gun,General Equipment
Repulsor Assist Unit,620,1,3,Small repulsor lift engine,General Equipment
Rim Excursions Inc. Military Belt Pouch,10,-,0,Holds a couple items for use mid combat,General Equipment
Rocket Boots,"2,500",2,8,Jet pack on boots,General Equipment
Spacer's Duffel,50,-,0,Increases carrying capacity,General Equipment
Surveyor's Bag,50,-,1,Increases carrying capacity,General Equipment
Thunderhead Portable Entertainment System,"2,500",10,4,Complete entertainment suite for producing performances,General Equipment
Utility Belt,25,-,0,Increase carrying capacity,General Equipment
Weapon Maintenance Kit,450,2,3,Assists for repairs and modifications of a certain type of weapon,General Equipment
Z-6 Jetpack,"5,250",3,7,Fast jetpack with missile launcher,General Equipment
"""Breaker"" Heavy Hydrospanner",250,3,2,"Assists in working with starship plating, and can be used as a weapon",Industrial Tools
Corellian Mining Corporation EVA Powersuit,"1,500",12,7,Used for in-space repairs of ships hulls,Industrial Tools
Custom Tool Kit,700,5,5,Tool kit made for a specific user,Industrial Tools
CZ-88 Heavy Loader Arm,"1,500",30,3,Automated grabbing arm,Industrial Tools
Demolitions Tool Kit,400,4,3,Designed to reduce hazards while working on explosives,Industrial Tools
Engineer's Hammer,350,2,2,"Assists in demolishing and building structures, is also a weapon",Industrial Tools
Foamcast,25,1,2,"Enables quick repairs, can be used as improvised explosives",Industrial Tools
Fusion Cutter,175,2,2,"Used for cutting through alloys, can be used as a weapon",Industrial Tools
Hand Grinder,500,5,3,"Polishes and sands down metal surfaces, can be used as a weapon",Industrial Tools
Mechanical Dianoga,225,4,4,Assists with repairs of vehicles and starships,Industrial Tools
Merr-Sonn VX-A Intelligent Toolbox,"2,500",3,8,Counts as a tool kit that significantly reduces time spent on repairs and crafting,Industrial Tools
Model-40 Field Repulsor Hoist,550,3,6,Lifts vehicles for repairs or mods,Industrial Tools
Multi-Goo Gun,250,2,1,"Repair spray, can be used as a weapon",Industrial Tools
