Name,Skill,Dam,Crit,Range,Encumbrance,HP,(Restricted),Price,Rarity0to10,Special,Category
"""Storm"" Charge Suit (GaG | shock gloves)",Brawl,+0,5,Engaged,3,0,,"2,000",2,Stun 3,BRAWLING
"""Storm"" Charge Suit (DC | shock gloves)",Brawl,+0,5,Engaged,3,0,,"2,000",6,Stun 3,BRAWLING
Backhand Shock Gloves,Brawl,+1,3,Engaged,0,2,,"2,000",4,"Concussive 1, Slow-Firing 1, Stun Damage",BRAWLING
Blast Knuckles,Brawl,+4,4,Engaged,2,0,(Restricted),500,6,Inaccurate 1,BRAWLING
Brass Knuckles,Brawl,+1,4,Engaged,1,0,,25,0,Disorient 3,BRAWLING
Crushgaunts,Brawl,+4,2,Engaged,1,0,(Restricted),"5,000",8,"Cortosis, Sunder, Vicious 2",BRAWLING
Exoglove,Brawl,+2,4,Engaged,2,1,,"2,000",4,Knockdown,BRAWLING
Garrote,Brawl,-,-,Engaged,1,0,,50,2,Stun setting,BRAWLING
Garrote Chrono,Brawl,-,-,Engaged,0,-,(Restricted),100,5,Stun setting,BRAWLING
Koromondain SVT-300 Stun Cloak,Brawl,7,3,Engaged,2,0,,"1,500",4,"Limited Ammo 3, Stun Damage",BRAWLING
Kyuzo Petars (single),Brawl,+2,3,Engaged,1,0,,"2,000",7,"Pierce 3, Vicious 2",BRAWLING
Kyuzo Petars (pair),Brawl,+2,3,Engaged,1,0,,"2,000",7,"Defensive 1, Pierce 3, Sunder, Vicious 2",BRAWLING
Needle Gloves,Brawl,+0,5,Engaged,1,0,(Restricted),750,8,,BRAWLING
Refined Cortosis Gauntlets,Brawl,+1,4,Engaged,3,2,,"1,000",7,Cortosis,BRAWLING
Reinforced Gauntlets,Brawl,+1,4,Engaged,-,-,,250,2,Disorient 3,BRAWLING
Repulsor Fist,Brawl,8,3,Engaged,-,-,,"4,750",7,"Concussive 1, Slow-Firing 2",BRAWLING
Retractable Garrote (entry),Brawl,-,-,Engaged,-,-,,200,6,Stun setting,BRAWLING
Retractable Garrote (table),Brawl,-,-,Engaged,-,-,,300,6,Stun setting,BRAWLING
S-1 Vamblade (single),Brawl,+1,3,Engaged,2,1,,500,4,Defensive 1,BRAWLING
S-1 Vamblade (pair),Brawl,+1,3,Engaged,2,1,,500,4,"Accurate 1, Defensive 1, Sunder",BRAWLING
Sap Gloves,Brawl,+2,5,Engaged,1,1,,50,4,Concussive 1,BRAWLING
Shield Gauntlet,Brawl,+1,5,Engaged,1,0,,"1,500",8,"Deflection 2, Stun Damage",BRAWLING
Shock Boots,Brawl,+0,5,Engaged,2,0,,"1,250",5,"Disorient 3, Stun 3",BRAWLING
Shock Gloves,Brawl,+0,5,Engaged,0,1,,300,2,Stun 3,BRAWLING
Vibroknucklers,Brawl,+1,2,Engaged,1,0,,350,4,"Pierce 1, Vicious 1",BRAWLING
"""Czerhander"" VX Vibro-greatsword",Melee,+3,2,,4,3,,900,,"Defensive 1, Pierce 2, Vicious 2",MELEE
'aKraB Clip-point Vibrodagger,Melee,+1,2,,1,1,,550,,"Pierce 3, Vicious 1",MELEE
AB-75 Bo-Rifle (melee mode),Melee,+3,4,,4,4,,900,,"Stun 5, Stun setting",MELEE
Activv1 Riot Shield,Melee,+0,6,,5,1,,300,,"Cumbersome 3, Defensive 2, Deflection 2, Disorient 1",MELEE
Arg'garok (GaG),Melee,+5,3,,5,3,,"1,000",,"Cumbersome 5, Inaccurate 1, Pierce 1, Sunder",MELEE
Arg'garok (LoNH),Melee,+5,3,,5,3,,"1,000",,"Cumbersome 5, Inferior 1, Pierce 1, Sunder",MELEE
Ashla Staff,Melee,+2,3,,4,2,,"3,000",,,MELEE
Bardottan Electrolance,Melee,+2,3,,3,2,,300,,"Defensive 2, Stun setting",MELEE
Bayonet,Melee,+1,3,,1,-,,50,,,MELEE
Beastmaster's Vibro-glaive,Melee,+2,2,,3,3,,975,,"Defensive 2, Pierce 3",MELEE
Beskad,Melee,+3,2,,4,2,,"6,500",,"Cortosis, Cumbersome 3, Sunder, Vicious 3",MELEE
Blade-breaker,Melee,+0,4,,1,1,,250,,"Defensive 2, Pierce 1, Sunder",MELEE
Boot Blade (GaG),Melee,+1,3,,2,-,,100,,,MELEE
Boot Blade (CaM),Melee,+1,3,,-,-,,100,,,MELEE
Ceremonial Blade,Melee,+2,3,,2,3,,650,,Defensive 1,MELEE
Combat Knife,Melee,+1,3,,1,0,,25,,,MELEE
Concealed Escape Kit (monoknife),Melee,+1,3,,-,-,,450,,Pierce 1,MELEE
Corellian Cutlass,Melee,+2,3,,2,1,,300,,"Defensive 1, Vicious 1",MELEE
Cortosis Shield,Melee,+0,6,,4,0,,900,,"Cortosis, Cumbersome 3, Defensive 2, Deflection 2",MELEE
Cortosis Staff (Refined),Melee,+3,5,,4,2,,"2,500",,Cortosis,MELEE
Cortosis Sword,Melee,+2,3,,3,2,,"1,350",,"Cortosis, Defensive 1",MELEE
CS-12 Stun Master,Melee,6,3,,1,0,,575,,"Disorient 2, Stun Damage",MELEE
"Czerka ""Peacekeeper"" Stun Baton",Melee,+2,4,,3,2,,500,,"Cumbersome 3, Disorient 2, Stun 3",MELEE
Diiro,Melee,+1,3,,2,0,,250,,Defensive 1,MELEE
Double-Bladed Vibrosword,Melee,+2,2,,4,3,,"1,300",,"Defensive 1, Linked 1, Pierce 2, Unwieldy 3, Vicious 1",MELEE
Duskblade,Melee,+3,3,,2,1,,"1,800",,"Pierce 2, Superior",MELEE
Electronet (GaG),Melee,+6,6,,2,0,,350,,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage",MELEE
Electronet (KtP),Melee,6,6,,2,0,,350,,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage",MELEE
Electrostaff,Melee,+4,3,,4,3,,"4,500",,"Cortosis, Cumbersome 3, Linked 1, Stun setting, Unwieldy 3",MELEE
Energy Buckler,Melee,+0,5,,2,1,,"1,000",,"Concussive 1, Defensive 1, Deflection 1",MELEE
Explorer's Knife,Melee,+1,3,,2,0,,100,,Vicious 1,MELEE
Fear Stick,Melee,5,-,,1,0,,"1,500",,"Limited Ammo 3, Pierce 1, Stun Damage",MELEE
Findsman Shockprod,Melee,+2,5,,3,1,,"1,400",,"Cortosis, Defensive 1, Stun Damage",MELEE
Flashstick,Melee,+2,-,,2,2,,375,,"Disorient 3, Stun Damage",MELEE
Force Pike,Melee,+3,2,,3,3,,500,,"Pierce 1, Stun setting",MELEE
Gaffi Stick,Melee,+2,3,,3,0,,100,,"Defensive 1, Disorient 3",MELEE
Gungan Electropole,Melee,+2,4,,3,2,,450,,"Stun 3, Stun setting",MELEE
Gungan Personal Energy Shield,Melee,-1,5,,4,0,,"1,000",,"Defensive 2, Deflection 2",MELEE
Huntsman Vibrospear,Melee,+3,3,,4,2,,950,,"Pierce 2, Vicious 2",MELEE
Individual Field Disruptor,Melee,+2,-,,-,0,,"9,500",,Stun Damage,MELEE
Ion Pike,Melee,10,3,,2,1,,750,,"Inaccurate 1, Ion, Pierce 4",MELEE
Kal,Melee,+2,2,,1,1,,"4,000",,"Cortosis, Sunder, Vicious 2",MELEE
Kyuzo War Shield,Melee,+1,4,,3,0,,750,,"Cumbersome 3, Defensive 1, Deflection 2, Disorient 1",MELEE
Longeing Whip,Melee,+1,5,,3,1,,600,,"Ensnare 2, Stun Damage",MELEE
M3 Bulwark Blast Shield,Melee,+1,6,,6,1,,600,,"Cumbersome 3, Defensive 2, Deflection 2",MELEE
M8 Combat Knife,Melee,+1,3,,1,1,,150,,"Accurate 1, Pierce 1",MELEE
MMD-18 Molecular Dagger,Melee,+2,3,,1,1,,100,,Pierce 4,MELEE
"Model 14 ""Stalker"" Vibrospear",Melee,+2,2,,4,2,,490,,"Defensive 1, Pierce 2, Vicious 2",MELEE
Model 7 Therm-ax,Melee,+2,3,,4,3,,850,,"Burn 2, Sunder, Vicious 1",MELEE
Mon Calamari Coral Pike,Melee,+3,2,,3,3,,"1,000",,"Defensive 1, Pierce 2",MELEE
Mon Calamari Energy Lance,Melee,+3,2,,4,2,,"1,500",,"Cumbersome 3 (dismounted), Pierce 3",MELEE
Mon Calamari Spear Blaster (spear profile),Melee,+2,3,,5,3,,"1,350",,Pierce 1,MELEE
Morgukai Cortosis Staff,Melee,8,1,,3,0,,"9,000",,"Breach 1, Cortosis, Defensive 1",MELEE
MSW-12 NanoDagger,Melee,+1,2,,1,0,,700,,"Pierce 5, Vicious 1",MELEE
MSW-9 Molecular Stiletto,Melee,+0,2,,1,1,,500,,"Pierce 5, Vicious 1",MELEE
Neuronic Lash,Melee,+1,5,,1,1,,800,,"Ensnare 1, Stun 3, Stun Damage",MELEE
Neuronic Whip,Melee,+1,4,,1,1,,750,,"Disorient 4, Ensnare 1, Stun Damage",MELEE
Ouro Blade,Melee,+1,3,,1,0,,600,,,MELEE
Parrying Dagger,Melee,+1,3,,1,0,,150,,Defensive 1,MELEE
Parrying Vibroblade,Melee,+1,2,,1,2,,400,,"Defensive 1, Pierce 2, Vicious 1",MELEE
Punch Dagger,Melee,+1,3,,1,1,,75,,Pierce 1,MELEE
Retractable Wrist Blades,Melee,+1,3,,-,-,,150,,Pierce 1,MELEE
Rodian Cryogen Whip,Melee,+2,3,,1,1,,"1,550",,"Ensnare 1, Vicious 2, Unwieldy 3",MELEE
"RS01 ""Ripper"" Powersword",Melee,+3,2,,4,3,,"1,050",,"Cumbersome 3, Pierce 2, Sunder, Knockdown, Vicious 2",MELEE
Ryyk Blade,Melee,+2,2,,3,3,,400,,"Cumbersome 3, Defensive 1, Superior",MELEE
Selonian Glaive,Melee,+3,3,,5,3,,"1,200",,"Defensive 1, Pierce 3",MELEE
Semblan Obsidian Dagger,Melee,+0,1,,1,0,,300,,,MELEE
Shistavanen Combat Utility Vibroblade,Melee,+1,2,,2,0,,600,,"Pierce 2, Vicious 1",MELEE
Shock Whip,Melee,4,4,,3,2,,600,,"Ensnare 3, Stun Damage",MELEE
Shockprod Staff,Melee,7,3,,4,3,,"1,500",,"Disorient 4, Stun setting",MELEE
Sith Shield,Melee,+1,4,,3,2,,"10,000",,"Cortosis, Defensive 1, Deflection 2, Vicious 1",MELEE
Snap Baton,Melee,+1,4,,1,1,,50,,Disorient 2,MELEE
"SoroSuub ""Persuader"" Animal Shock Prod",Melee,+2,4,,4,2,,"1,000",,"Concussive 1, Slow-Firing 1, Stun Setting",MELEE
Spray Stick (stun pad),Melee,+2,-,,4,0,,"2,500",,"Inaccurate 1, Stun Damage",MELEE
"Mk II ""Paladin"" Blaster Rifle (stun prod)",Melee,+2,6,,4,2,,"3,250",,"Disorient 2, Stun Damage",MELEE
Staff of Office,Melee,+2,4,,3,2,,350,,"Defensive 1, Disorient 2",MELEE
Stealth Vibroknife,Melee,+1,2,,1,1,,350,,"Pierce 1, Vicious 1",MELEE
Sword Cane,Melee,+2,3,,2,1,,475,,Defensive 1,MELEE
Thunderbolt Shock Prod,Melee,5,3,,2,2,,875,,"Concussive 1, Stun Damage",MELEE
Trailbreaker Poleaxe,Melee,+3,3,,5,1,,610,,"Defensive 1, Pierce 2, Unwieldy 2",MELEE
Truncheon,Melee,+2,5,,2,0,,15,,Disorient 2,MELEE
Tuskbeast Pike,Melee,+4,3,,3,1,,"1,050",,"Defensive 1, Knockdown",MELEE
"TZ-97 ""Zapper"" Shock Baton",Melee,5,4,,2,2,,900,,"Concussive 1, Stun Damage",MELEE
Vibro-ax,Melee,+3,2,,4,3,,750,,"Pierce 2, Sunder, Vicious 3",MELEE
Vibro-bayonet,Melee,+1,2,,1,-,,300,,"Inaccurate 1, Pierce 2, Vicious 1",MELEE
Vibro-machete,Melee,+2,2,,2,1,,550,,"Pierce 1, Sunder, Vicious 1",MELEE
Vibroknife,Melee,+1,2,,1,2,,250,,"Pierce 2, Vicious 1",MELEE
Vibrorang (in melee),Melee,+2,2,,1,0,,300,,"Inaccurate 1, Pierce 2, Vicious 1",MELEE
Vibrorapier,Melee,+2,2,,2,2,,"1,200",,"Defensive 1, Pierce 4",MELEE
Vibrosword,Melee,+2,2,,3,3,,750,,"Defensive 1, Pierce 2, Vicious 1",MELEE
Voss Warspear,Melee,+2,4,,4,2,,215,,Defensive 2,MELEE
Weik Greatsword,Melee,+4,3,,4,2,,315,,"Cumbersome 4, Defensive 1",MELEE
Z2 Stun Baton,Melee,+2,6,,2,2,,200,,"Disorient 2, Stun Damage",MELEE
Z6 Riot Control Baton,Melee,+2,5,,2,1,,1000,,"Cortosis, Disorient 2, Stun Damage",MELEE
"""Breaker"" Heavy Hydrospanner",Melee,+2,4,Engaged,3,-,,250,2,"Cumbersome 3, Disorient 1, Inaccurate 1",TOOLS AS WEAPONS
Copora-Tech Thermal Cutter,Melee,4,4,Engaged,2,-,,125,3,"Burn 1, Inaccurate 2",TOOLS AS WEAPONS
Electromag-Pulse Disruptor,Melee,5,4,Engaged,1,0,,180,5,"Disorient 1, Ion",TOOLS AS WEAPONS
Engineer's Hammer,Melee,+3,5,Engaged,2,-,,350,2,"Cumbersome 3, Disorient 1, Knockdown",TOOLS AS WEAPONS
Entrenching Tool,Melee,+2,4,Engaged,1,-,,20,1,,TOOLS AS WEAPONS
Fusion Cutter,Melee,5,3,Engaged,2,-,,175,2,"Breach 1, Burn 3, Sunder, Vicious 3",TOOLS AS WEAPONS
G9-GX Pulse Drill,Melee,5,4,Engaged,5,2,,"1,100",4,"Breach 1, Cumbersome 3, Inaccurate 2",TOOLS AS WEAPONS
Hand Grinder,Melee,+2,4,Engaged,5,4,,500,3,"Cumbersome 3, Prepare 1, Vicious 4",TOOLS AS WEAPONS
J-7b Beamdrill,Melee,9,2,Engaged,6,0,,"3,000",5,"Breach 1, Cumbersome 4, Inaccurate 2, Sunder",TOOLS AS WEAPONS
Mk. VIII Vibrosaw,Melee,+4,2,Engaged,6,3,,"1,500",5,"Cumbersome 5, Pierce 2, Sunder, Vicious 2",TOOLS AS WEAPONS
Personal Vibrosaw,Melee,+4,2,Engaged,-,-,,900,1,"Cumbersome 4, Pierce 2, Sunder, Unwieldy 4, Vicious 2",TOOLS AS WEAPONS
Slicewire,Brawl,+2,2,Engaged,1,-,,200,7,"Pierce 2, Vicious 3",TOOLS AS WEAPONS
Vibro-Pickaxe,Melee,+2,2,Engaged,5,-,,650,3,"Cumbersome 4, Pierce 3, Sunder, Vicious 1",TOOLS AS WEAPONS
Welding Rod,Melee,3,2,Engaged,4,0,,"1,750",5,"Breach 1, Inaccurate 2",TOOLS AS WEAPONS
Whipcord Thrower,Melee,+1,5,Short,-,-,,600,1,Ensnare 2,TOOLS AS WEAPONS
