Model,NPC,Br/Ag/Int/Cun/Wil/Pr,Soak,WT,ST,M/R Def.,Skills,(R),Price,Rarity
BT-Series Ordnance Droid,Rival,3/1/3/1/1/1,7,15,,0/0,"Gunnery, Mechanics",(R),"13,500",6
DTS-series Dismantler Droid,Rival,5/3/2/2/3/2,7,15,,0/1,"Computers, Mechanics, Perception, Ranged (Heavy)",,"40,000",6
DUM-Series Pit Droid,Minion,1/1/0/0/1/1,3,2,,0/0,"Computers, Mechanics, Perception",,450,1
EG-6 Power Droid,Minion,1/1/2/1/2/1,4,10,,0/0,"Computers, Mechanics",,"3,800",2
GT-Series Construction Droid,Rival,3/2/2/1/2/1,4,13,,0/0,"Computers, Mechanics, Perception",,"17,500",4
Gyrowheel 1.42.08-Series Recycling Droid,Minion,3/3/0/1/1/1,4,4,,0/0,"Athletics, Coordination",,"6,500",4
FD-series Extinguisher Droid,Minion,2/1/1/1/1/1,3,2,,0/0,Athletics,,"8,000",4
M4-series Messenger Droid,Rival,1/2/2/3/3/2,4,20,,0/0,"Cool, Perception, Ranged (Light), Resilience, Skulduggery, Stealth, Vigilance",,"6,500",6
Maintenance Droid,Minion,1/1/1/1/1/1,3,3,,0/0,Mechanics,,"7,500",3
MSE-series Maintenance Droid,Minion,1/2/1/1/1/1,3,3,,0/0,"Computers, Mechanics, Perception",,200,2
Q-4 Borer Droid,Minion,1/2/1/1/1/1,2,3,,0/0,"Perception, Ranged (Light)",,"2,000",5
Q-Signal Messenger Drone,Rival,1/2/2/2/1/1,2,8,,0/0,"Astrogation, Perception, Piloting (Space), Stealth",,"50,500",6
J9 Worker Drone,Rival,1/2/3/1/2/1,2,11,,0/0,"Charm, Education, Negotiation, Xenology",,"7,000",3
Service Patch Remote,Minion,1/1/1/1/1/1,2,5,,0/0,"Computers, Mechanics",,900,3
G2 Repair Droid,Rival,1/2/2/1/1/2,1,6,,0/0,"Astrogation, Computers, Core Worlds, Mechanics, Outer Rim, Piloting (Space)",,"6,000",5
