Model,NPC,Br/Ag/Int/Cun/Wil/Pr,Soak,WT,ST,M/R Def.,Skills,(R),Price,Rarity
3PX-Series Protocol Droid,Rival,1/1/3/1/1/2,2,10,,0/0,"Charm, Education, Negotiation, Outer Rim, Xenology",,"7,750",4
5YQ-Series Protocol Droid,Rival,1/1/3/1/1/2,2,9,,0/0,"Charm, Core Worlds, Education, Lore, Outer Rim, Underworld, Warfare, Xenology",,"5,500",3
BD10-Series Assay Support Droid,Rival,1/1/4/3/1/3,3,10,,0/0,"Charm, Negotiation, Outer Rim",,"8,500",5
CZ-Series Communications/Business Droid,Rival,1/1/3/2/1/2,2,10,,0/0,"Core Worlds, Education, Negotiation, Perception",,"9,000",4
ED-V8-Series Envoy Droid,Rival,1/1/3/2/1/1,3,10,,0/0,"Education, Negotiation, Outer Rim, Perception",,"8,000",7
LOM-Series Protocol Droid,Rival,1/1/3/1/1/2,2,10,,0/0,"Charm, Education, Negotiation, Outer Rim, Xenology",,"8,500",5
LRD-Series Envoy Droid,Rival,1/1/2/1/2/3,2,10,,0/0,"Charm, Education, Negotiation, Perception",,"15,000",5
M-3PO-Series Military Protocol Droid,Rival,1/1/3/1/2/1,2,14,,0/0,"Discipline, Education, Vigilance, Warfare",(R),"12,000",5
KLC Series Exchequer Droid,Rival,1/1/3/1/1/3,2,8,,0/0,"Charm, Computers, Cool, Negotiation",,"10,000",5
Protocol Droid (FaD),Rival,1/1/3/1/1/2,3,10,,0/0,"Charm, Education, Negotiation, Perception, Xenology",,"8,000",5
"Protocol Droid (AoR, EotE)",Rival,1/1/3/1/1/2,3,10,,0/0,"Charm, Education, Negotiation, Perception, Xenology",,"8,000",4
RA-7 Protocol Droid,Rival,2/1/3/3/2/2,3,10,,0/0,"Deception, Education, Negotiation, Perception, Skulduggery, Stealth, Vigilance, Xenology",(R),"12,000",6
Siak-series Protocol Droid,Rival,1/1/3/2/2/2,2,10,,0/0,"Charm, Education, Negotiation, Xenology",,"10,000",4
SDMN Series Session Droid,Rival,1/2/2/2/1/3,3,7,,0/0,"Charm, Cool, Computers, Coordination, Deception",,"4,000",5
TC-Series Protocol Droid,Rival,1/1/3/1/1/2,2,10,,0/0,"Charm, Education, Negotiation, Perception, Xenology",,"10,000",4
TTS20-Series Dialectic Droid,Rival,2/1/3/2/1/4,3,8,,0/0,"Charm, Cool, Core Worlds, Deception, Education, Negotiation, Perception, Streetwise",,"5,400",7
