Model,Crew Complement,Price,Rarity,No of Weapon Batteries,Special Features
Golan I Space Defense Platform,"5,000","26,000,000",9,33x,Starfighters & No Hyperdrive
Imperial I-Class Star Destroyer,"37,084","150,000,000",7,120x,Starfighters
Imperial II-Class Star Destroyer,"37,085","150,000,000",7,128x,Starfighters
Ithorian Herd Ship,"3,000","600,000,000",9,20x,Flying City
Maelstrom-class Battle Cruiser,"45,000","158,000,000",8,90x,Starfighters
MC75 Star Cruiser,"3,225","88,000,000",8,46x,Starfighters
MC80 Liberty Type Star Cruiser,"5,400","104,000,000",7,68x,Starfighters
Mk IX Orbital Maintenance Depot,"20,500","22,000,000",7,24x,Repair Facilities & No Hyperdrive
Providence-class Dreadnought,900,"400,585,000",9,176x,Well Rounded
Secutor-Class Battlecarrier,"40,000","200,000,000",7,61x,Starfighters
Venator-class Star Destroyer,"7,400","59,000,000",7,74x,Huge Number of Starfighters
Victory-Class Star Destroyer,"6,017","50,000,000",6,50x,Cheaper Imperial Class
