Model,Crew Complement,Price,Rarity,No of Weapon Batteries,Special Features
Armos Modular Transport,150,"780,000",8,-,Large Cargo & Extreme Sensors
Arquitens-class Light Cruiser,100 - 750,"4,000,000 - 5,000,000",5,4x - 16x,-
EF76 Nebulon-B Frigate,920,"8,500,000",7,24x,Starfighters
Kaminoan Observation Ship,6,"750,000",7,-,Laboratories
MC30c Frigate,820,"9,500,00",6,38x,Cluster Bombs
MC40a Light Cruiser,"3,770","15,500,000",6,36x,Good Shields
Pelta-class Frigate,900,"7,250,000",6,5x,-
Quasar Fire-Class Escort Carrier,250,"1,750,000",6,2x,Starfighters
Starbolt Assault Carrier,800,"10,000,000",8,9x,Starfighters & Vehicles
Surveyor-class Reconnaissance Frigate,900,"9,600,00",8,20x,Sensor Suites
Ubrikkian Industries Kossak-class Frigate,975,"8,300,000",7,28x,Starfighters
Xanter-class Deep-Space Exploration Frigate,150,"3,750,000",7,10x,-
