Model,Hyperdrive,Encumbrance / Passengers,HP,Price,Rarity,Weapons?
Barloz-Class Medium Freighter,Class 2 / 12,170 / 4,4,"70,000",5,Yes
CEC HWK-1000 Light Freighter,Class 1 / 12,100 / 4,5,"(R) 120,000",10,No
CorelliSpace Gymsnor-3 Light Freighter,Class 2 / 15,160 / 4,4,"80,000",6,Yes
CorelliSpace Gymsnor-4 Light Freighter,Class 2 / 15,160 / 4,5,"95,000",6,Yes
Darvro-class Light Freighter,Class 1 / 12,120 / 4,4,"(R) 250,000",9,Yes
G9 Rigger Light Freighter,Class 3,80 / 6,4,"55,000",5,Yes
Ghtroc 720 Light Freighter,Class 2 / 15,200 / 10,4,"112,000",8,Yes
GX1 Short Hauler,Class 2 / 12,200 / 6,5,"85,000",5,Yes
HWK-290 Light Freighter,Class 2,75 / 2,5,"70,000",7,No
Jedi Sojourner,Class 1 / 12,20 / 6,3,"120,000",8,Yes
Kazellis-Class Light Freighter,Class 2 / 12,100 / 4,2,"70,000",8,Yes
MC-18 Light Freighter,Class 1 / 10,150 / 5,2,"140,000",6,Yes
Simiyiar Light Freighter,Class 2 / 15,90 / 5,4,"165,000",6,Yes
Starlight-class Light Freighter,Class 2 / 15,85 / 6,4,"69,995",5,Yes
VCX-100 Light Freighter,Class 2 / 14,200 / 6,5,"155,000",8,Yes
Wander-Class Jump Freighter,Class 2 / 10,50 / 1,4,"65,000",6,Yes
YG-4210 Light Freighter,Class 3 / 13,120 / 12,4,"85,000",7,Yes
YG-4400 Light Freighter,Class 1 / 18,75 / 2,2,"110,000",5,Yes
YKL-37R Nova Courier,Class 2 / 12,100 / 6,5,"130,000",6,Yes
YT-1000 Light Freighter,Class 3 / 16,150 / 4,5,"75,000",5,Yes
YT-1200 Light Freighter,Class 3 / 15,150 / 6,5,"90,000",5,Yes
YT-1210 Light Freighter,Class 2 / 16,100 / 4,3,"120,000",5,Yes
YT-1300 Light Freighter,Class 2 / 12,165 / 6,6,"100,000",4,Yes
YT-1760 Small Transport,Class 1 / 15,70 / 8,5,"80,000",5,Yes
YT-2000 Light Freighter,Class 2 / 12,170 / 7,5,"120,000",5,Yes
YT-2400 Light Freighter,Class 2 / 12,140 / 6,5,"130,000",5,Yes
YV-560 Light Freighter,Class 2 / 15,80 / 5,4,"120,000",7,Yes
YV-666 Light Freighter,Class 3 / 14,200 / 6,6,"132,000",6,Yes
YV-929 Light Freighter,Class 2 / 12,80 / 6,1,"380,000",6,Yes
ZH-25 Questor Light Freighter,Class 2 / 15,100 / 6,4,"115,000",6,Yes
