Model,Hyperdrive,Passengers,HP,Price,Rarity,Weapons?
Baudo-class Star Yacht,Class 2 / 12,8,6,"250,000",9,Yes
Caisson-class Engineering Troop Carrier,Class 3 / 12,40,2,"190,000",6,Yes
CEC WUD-500 Star Yacht,Class 1 / 8,6,5,"98,500",6,Yes
CSS-1 Corellian Star Shuttle,Class 1.5 / 12,200,4,"325,000",6,No
Curich-class Shuttle,Class 2 / 12,50,2,"(R) 130,000",5,Yes
H-Type Nubian Yacht,Class 1 / 7,8,0,"800,000",7,No
ILH-KK Citadel-class Light Freighter,Class 2 / 15,14,4,"200,000",6,Yes
J-Type Diplomatic Barge,Class 1 / 7,10,0,"1,000,000",7,No
J-Type Star Skiff,Class 1 / 12,3,0,"260,000",7,Yes
Kappa-class Shuttle,Class 2 / 18,40,2,"(R) 110,000",5,Yes
Luxurious-class Yacht,Class 2 / 12,12,4,"210,000",6,No
SoroSuub Luxury 3000 Space Yacht,Class 2 / 14,10,4,"120,000",6,No
Starwind Pleasure Yacht,Class 1 / 15,10,2,"210,000",6,Yes
Ubrikkian Industries Seltiss-2 Caravel,None,12,4,"550,000",6,Yes
Y164 Slave Transport,Class 3 / 15,1200,3,"245,000",6,Yes
