Model,Silhouette,Speed,HP,(Restricted),Price,Rarity,Weapons?
8880 Luxury Landspeeder,3,2,2,,40000,7,No
9400 Grand Wanderer,4,2,3,,35000,8,No
A-A3 Dray Light Speeder Truck,3,1,3,,7000,2,No
A-A4B Speeder Truck,3,2,4,,15000,3,No
A-A5M Emergency Response Vehicle,3,3,4,,10000,5,No
A-A8 BackCountry Speeder Truck,3,1,6,,8500,4,No
AA-70 Observation and Command Speeder,3,1,2,,16000,4,Yes
"Arlen-Dempler C-B7 ""Interceptor""",2,4,5,,21500,5,No
Arrow-23 Landspeeder,3,2,4,,10800,3,No
AV-21 Landspeeder,2,3,3,,6500,7,No
Bactoid UH-XH Heavy Work Platform,4,1,3,,30000,5,No
D-4S Projection Platform,4,2,4,,10000,6,No
Dewback 2 Repulsor Sled,2,1,2,,4000,2,No
Foot Speeder,1,1,0,,2000,4,No
Hutt Repulsorsled,2,1,3,,8000,3,Yes
Hyperfoil 1000-XTC,2,2,3,,7000,5,No
Jawa Salvage Skiff,2,1,1,,4000,2,No
LM002 Bloodhound Survey Vehicle,2,2,2,,13500,2,No
Model 90 Ranger,3,3,4,,19500,4,No
Oduran Luxury Landspeeder,2,2,0,,25000,4,No
Ord Radama Landspeeder,2,2,1,,10000,2,No
Passenger Landspeeder,2,2,4,,3500,3,No
"SCS-19 ""Sentinel"" Armoured Landspeeder",3,3,2,,60000,6,Yes
SoroSuub Portable Store KRI-80,4,1,5,,60000,6,No
"SoroSuub Seraph ""Flash Speeder""",2,3,2,,5200,4,Yes
Sunrunner ZX Landspeeder,2,2,3,,8500,5,Yes
SuperHaul Model II Cargo Skiff,2,2,2,,8000,3,No
Trast A-A5 Heavy Speeder Truck,3,1,3,,10000,2,No
Ubrikkian Industries Bantha-II Cargo Skiff,2,3,2,(Restricted),8000,4,No
Ubrikkian Industries Luxury-class Sail Barge,4,2,2,,300000,6,Yes
Ubrikkian Industries Pongeeta-class Swamp Speeder,2,2,2,,6000,3,No
V-35 Courier (DA),2,1,2,,5500,2,No
V-35 Courier (FH),2,3,3,,7500,2,No
V5 Medium Cargo Floater,2,1,0,,1225,2,No
X-34 Landspeeder,2,2,2,,4500,2,No
XP-40 Luxury Coach,3,3,2,,45000,7,No
