Model,Silhouette,Speed,HP,(Restricted),Price,Rarity,Weapons?
"580-AvA ""Dash"" Speeder Bike",2,2,1,,1800,6,No
"610-AvA ""Dart"" Speeder Bike",2,2,4,,2400,6,No
614-AvA Speeder Bike,2,2,1,(Restricted),4200,6,Yes
64-Y Swift 3 Repulsorsled,2,3,4,,8000,7,Yes
74-Z Speeder Bike,2,3,2,,3000,4,Yes
85-XS Odyssey Heavy Speeder Bike,2,2,4,,4500,5,No
"88-R ""Nightscreamer"" Speeder Bike",2,4,2,,5500,6,Yes
Aratech 57-D Speeder Bike,2,3,3,,2800,4,No
BARC Speeder,2,3,1,(Restricted),9500,7,Yes
"CEC D-22 ""Screamer"" Speeder Bike",2,4,2,,4500,3,No
CK-6 Swoop,2,2,1,,4500,5,Yes
Joben T-85 Speeder Bike,2,2,5,,1500,4,No
KV Swoop,2,3,0,,4800,5,No
Mobquet Flare-S Swoop Bike,2,3,2,,6000,3,No
Mobquet Flare-V Swoop Bike,2,4,1,,5000,4,No
"Mobquet S-5 ""Flashfury"" Swoop",2,5,3,,5500,3,No
Panther Police Interceptor,2,4,3,(Restricted),11000,4,No
STAP Assault Platform,2,3,1,,2500,4,Yes
Starhawk Speeder Bike,2,3,1,,2000,3,No
Starhawk Speeder Bike with sidecar,2,3,2,,2500,3,No
The Superflare - Modified Mobquet Flare-S Swoop,3,4,0,,9500,6,Yes
Undicur Jumpspeeder,2,2,0,,3000,6,No
Zephyr-G Swoop,2,2,2,,5700,4,No
